time,cmd_DF,cmd_F,cmd_G,meas_DF,meas_F,meas_G,ang_wrist,ang_hand,p_flag_recv
0.041429758071899414,0.3,0.0,0.0,-0.0039687103856228655,-0.003539453177196365,-0.00019427001429895253,-1.08,-0.0,0.0
0.04154229164123535,0.3,0.0,0.0,-0.003855673764954498,-0.01253174708599942,-0.0035442617588108006,-1.08,-0.0,0.0
0.041570425033569336,0.3,0.0,0.0,-0.00839516899704995,-0.008922839936972944,-0.003697764022215339,-1.08,-0.0,0.0
0.04159283638000488,0.3,0.0,0.0,-0.006476421106502768,-0.015792957147980385,-0.007898946258825012,-1.08,-0.0,0.0
0.041613101959228516,0.3,0.0,0.0,-0.008114114883551241,0.004776220337290263,-0.005564531630923849,-1.08,-0.0,0.0
0.04163312911987305,0.3,0.0,0.0,-0.017698798952837744,0.00036236632516630825,-0.002848659062969188,-1.08,-0.0,0.0
0.04165291786193848,0.3,0.0,0.0,-0.01855276474389529,-0.009059412469714366,-0.005437178220644266,-1.08,-0.0,0.0
0.0416722297668457,0.3,0.0,0.0,-0.009858251615282167,0.006060102434898583,-0.005137080729930353,-1.08,-0.0,0.0
0.04169034957885742,0.3,0.0,0.0,0.0039409239644214175,-0.006987659684702145,-0.0011396981352748486,-1.08,-0.0,0.0
0.08288908004760742,0.3,0.0,0.0,-0.006264676416478897,0.0018703870201290014,-0.005108250498999854,-1.08,-0.0,0.0
0.08302760124206543,0.3,0.0,0.0,-0.011660772248550142,-0.007110543931588239,-0.010117295881053708,-1.08,-0.0,0.0
0.08307933807373047,0.3,0.0,0.0,-0.002368483711428993,-0.0034681645170893606,-0.006643194040822678,-1.08,-0.0,0.0
0.08312559127807617,0.3,0.0,0.0,-0.00919167922596723,-0.010753072072222505,0.0014846016288677499,-1.08,-0.0,0.0
0.08316373825073242,0.3,0.0,0.0,-0.010479536896045652,-0.013430760467868154,-0.0006149318745653203,-1.08,-0.0,0.0
0.08320474624633789,0.3,0.0,0.0,-0.005326317344664231,-0.010211151776398369,-0.010177965306227773,-1.08,-0.0,0.0
0.08324480056762695,0.3,0.0,0.0,-0.005823954852987365,-0.012701598968772798,-0.011259585450209341,-1.08,-0.0,0.0
0.08328723907470703,0.3,0.0,0.0,-0.003353753873072529,-0.01693716223048056,-0.008201726431863857,-1.08,-0.0,0.0
0.08332490921020508,0.3,0.0,0.0,-0.0030217677394207003,-0.01262079835176605,-0.013189155428093232,-1.08,-0.0,0.0
0.0833594799041748,0.3,0.0,0.0,-0.007104229864330136,-0.014385560705962312,-0.01235362173301399,-1.08,-0.0,0.0
0.1347489356994629,0.3,0.0,0.0,-0.002293797241331585,-0.015714660363983616,-0.00834582143662742,-1.08,-0.0,0.0
0.1348896026611328,0.3,0.0,0.0,-0.00545573630314101,-0.006823643616437834,-0.018871078282975705,-1.08,-0.0,0.0
0.13494324684143066,0.3,0.0,0.0,-0.0012422978797927903,-0.008202273527816948,-0.003533387870809133,-1.08,-0.0,0.0
0.13498973846435547,0.3,0.0,0.0,-0.008550684450602334,-0.0019009237225156887,-0.01275846468123525,-1.08,-0.0,0.0
0.13503789901733398,0.3,0.0,0.0,0.0011782038484534677,-0.004748287249408825,-0.010053124834251019,-1.08,-0.0,0.0
0.13508057594299316,0.3,0.0,0.0,-0.007115475739919956,-0.00986170659134292,-0.014851022750369102,-1.08,-0.0,0.0
0.13511943817138672,0.3,0.0,0.0,-0.011214213167554197,-0.004148274819614391,-0.006538261931848723,-1.08,-0.0,0.0
0.13515496253967285,0.3,0.0,0.0,-0.014614178509148415,-0.007379481351282847,-0.004434825677168324,-1.08,-0.0,0.0
0.13518953323364258,0.3,0.0,0.0,-0.011931453892269656,-0.015294864609928748,-0.004805554631718814,-1.08,-0.0,0.0
0.1352238655090332,0.3,0.0,0.0,-0.013724451948305997,0.005775249600296284,-0.005119641586880342,-1.08,-0.0,0.0
