time,cmd_DF,cmd_F,cmd_G,meas_DF,meas_F,meas_G,ang_wrist,ang_hand,p_flag_recv
0.04187202453613281,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.04207634925842285,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.042133331298828125,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.04217839241027832,0.0,0.0,0.0,2.815259254737998,-20.54,0.0,0.0,0.0,nan
0.04222249984741211,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.08360552787780762,0.0,0.0,0.0,2.815259254737998,-20.54,0.0,0.0,0.0,nan
0.0837550163269043,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.08381938934326172,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.08387541770935059,0.0,0.0,0.0,2.7694814905240035,-20.54,0.0,0.0,0.0,nan
0.08392930030822754,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.08398675918579102,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.12512564659118652,0.0,0.0,0.0,2.815259254737998,-20.54,0.0,0.0,0.0,nan
0.125227689743042,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.1252591609954834,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.1252913475036621,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.1253509521484375,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.12542223930358887,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.17683029174804688,0.0,0.0,0.0,2.830518509475996,-20.54,0.0,0.0,0.0,nan
0.1769871711730957,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.17705583572387695,0.0,0.0,0.0,2.815259254737998,-20.54,0.0,0.0,0.0,nan
0.17712116241455078,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.17717909812927246,0.0,0.0,0.0,2.815259254737998,-20.54,0.0,0.0,0.0,nan
0.17723989486694336,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.21841001510620117,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.21857118606567383,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.2186427116394043,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.21870756149291992,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.2187652587890625,0.0,0.0,0.0,2.815259254737998,-20.54,0.0,0.0,0.0,nan
0.21882247924804688,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.2598848342895508,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.2599964141845703,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.26003098487854004,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.26006364822387695,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.26009249687194824,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.2601182460784912,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.30115509033203125,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.30130910873413086,0.0,0.0,0.0,2.7694814905240035,-20.54,0.0,0.0,0.0,nan
0.30138301849365234,0.0,0.0,0.0,2.7694814905240035,-20.54,0.0,0.0,0.0,nan
0.3014488220214844,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.30150914192199707,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.30156564712524414,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.3426549434661865,0.0,0.0,0.0,2.815259254737998,-20.54,0.0,0.0,0.0,nan
0.34281182289123535,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.3428826332092285,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.34294652938842773,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.3430795669555664,0.0,0.0,0.0,2.7694814905240035,-20.54,0.0,0.0,0.0,nan
0.3431403636932373,0.0,0.0,0.0,2.815259254737998,-20.54,0.0,0.0,0.0,nan
0.38424134254455566,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.38439273834228516,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.3844616413116455,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.38452935218811035,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.3845949172973633,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.38464951515197754,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.4359281063079834,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.43608903884887695,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.43616271018981934,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.4362223148345947,0.0,0.0,0.0,2.7694814905240035,-20.54,0.0,0.0,0.0,nan
0.4362812042236328,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.47741246223449707,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.4775722026824951,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.4776477813720703,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.4777071475982666,0.0,0.0,0.0,2.7694814905240035,-20.54,0.0,0.0,0.0,nan
0.4777655601501465,0.0,0.0,0.0,2.7694814905240035,-20.54,0.0,0.0,0.0,nan
0.47781896591186523,0.0,0.0,0.0,2.815259254737998,-20.54,0.0,0.0,0.0,nan
0.5188555717468262,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.5190491676330566,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.5191278457641602,0.0,0.0,0.0,2.7694814905240035,-20.54,0.0,0.0,0.0,nan
0.5191869735717773,0.0,0.0,0.0,2.7694814905240035,-20.54,0.0,0.0,0.0,nan
0.51924729347229,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.5193054676055908,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.5608086585998535,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.5609204769134521,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.5609567165374756,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.5609874725341797,0.0,0.0,0.0,2.815259254737998,-20.54,0.0,0.0,0.0,nan
0.5610172748565674,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.5610439777374268,0.0,0.0,0.0,2.7694814905240035,-20.54,0.0,0.0,0.0,nan
0.602698564529419,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.6028544902801514,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.602928876876831,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.6030535697937012,0.0,0.0,0.0,2.7847407452620017,-20.54,0.0,0.0,0.0,nan
0.6031148433685303,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.6031732559204102,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
0.6449487209320068,0.0,0.0,0.0,2.8,-20.54,0.0,0.0,0.0,nan
