meas_pres_DF,meas_pres_F,meas_pres_G,wrist_angle_deg,grip_angle_deg,flag,force_N,t_recv,t_recv_rel,time,target_force,action_DF,action_F,action_G,cmd_DF,cmd_F,cmd_G
-0.012587185635662754,-0.01317675617312142,-0.004656214960930314,22.14,-16.02,1.0,0.2623676259651617,23624.683502912,0.0,0.0,0.0,0.07342810928821564,-0.11387111246585846,-0.35784387588500977,0.3220284581184387,0.2658386826515198,0.1926468461751938
-0.0029578450614875535,-0.01727050432681118,-0.009607897192739348,22.14,-16.02,1.0,0.12503433332317826,23624.683704768,0.00020185599714750424,0.005,0.0,0.07342810928821564,-0.11387111246585846,-0.35784387588500977,0.3220284581184387,0.2658386826515198,0.1926468461751938
-0.003923987137792085,-0.01367309725622407,-0.0069899835498987255,22.14,-16.02,1.0,0.15555284279917458,23624.683742656,0.00023974400028237142,0.01,0.0,0.07342810928821564,-0.11387111246585846,-0.35784387588500977,0.3220284581184387,0.2658386826515198,0.1926468461751938
-0.006674705326437768,0.00035107765971891577,-0.005357722378170215,22.14,-16.02,1.0,0.06399731437118561,23624.683751648,0.0002487359997758176,0.015,0.0,0.07342810928821564,-0.11387111246585846,-0.35784387588500977,0.3220284581184387,0.2658386826515198,0.1926468461751938
-0.019716840156210155,-0.005751673521162518,-0.009102645002207614,22.14,-16.02,1.0,-0.07333597827079785,23624.683758624,0.0002557119987613987,0.02,0.0,0.6283004879951477,-0.024504557251930237,-0.11347673088312149,0.48849013447761536,0.29264864325523376,0.2659569978713989
-0.014982291377264385,-0.020078845829351166,-0.0076929113316822634,22.14,-16.02,1.0,0.3997009186071452,23624.68376624,0.000263327998254681,0.025,0.0,0.6283004879951477,-0.024504557251930237,-0.11347673088312149,0.48849013447761536,0.29264864325523376,0.2659569978713989
-0.007650471301708115,-0.010199963054186814,-0.00951537896919561,22.14,-16.02,1.0,-0.2411877803888327,23624.683772736,0.0002698239986784756,0.03,0.0,0.6283004879951477,-0.024504557251930237,-0.11347673088312149,0.48849013447761536,0.29264864325523376,0.2659569978713989
0.0018645201537812665,-0.0068289461383941735,-0.006780608361780379,22.14,-16.02,1.0,0.17081209753717275,23624.68377968,0.00027676799800246954,0.035,0.0,0.6283004879951477,-0.024504557251930237,-0.11347673088312149,0.48849013447761536,0.29264864325523376,0.2659569978713989
-0.0074328795517685405,-0.017638838404100705,-0.0039817674906925254,22.14,-16.02,1.0,0.018219550157191122,23624.726785792,0.043282880000333535,0.04,0.0,0.48208102583885193,1.0,-0.10150717943906784,0.4446243345737457,0.6000000238418579,0.26954784989356995
-0.009591948468625315,-0.020787248490958667,-0.0036403756080436796,22.14,-16.02,1.0,0.06399731437118561,23624.72679776,0.04329484799745842,0.045,0.0,0.48208102583885193,1.0,-0.10150717943906784,0.4446243345737457,0.6000000238418579,0.26954784989356995
-0.008984225157082889,-0.030976448991267204,-0.009339373833602997,22.14,-16.02,1.0,0.2776268807031599,23624.726804608,0.04330169599779765,0.05,0.0,0.48208102583885193,1.0,-0.10150717943906784,0.4446243345737457,0.6000000238418579,0.26954784989356995
-0.010455278758136668,-0.01608338189386121,-0.004047089868401872,22.14,-16.02,1.0,-0.027558214056803365,23624.726811296,0.04330838399982895,0.055,0.0,0.48208102583885193,1.0,-0.10150717943906784,0.4446243345737457,0.6000000238418579,0.26954784989356995
-0.0031812540338872447,-0.014271785256814558,-0.0038218614209569305,22.14,-16.02,1.0,0.29288613544115805,23624.726818176,0.04331526399982977,0.06,0.0,0.03093845024704933,1.0,-0.1315332055091858,0.3092815577983856,0.6000000238418579,0.26054003834724426
0.0029574302126620894,-0.012519605227479027,-0.009628545678083097,22.14,-16.02,1.0,0.2623676259651617,23624.726824896,0.04332198399788467,0.065,0.0,0.03093845024704933,1.0,-0.1315332055091858,0.3092815577983856,0.6000000238418579,0.26054003834724426
-0.0027510071167354522,0.00035571767932389463,-0.011103319192189272,22.14,-16.02,1.0,0.018219550157191122,23624.726832192,0.043329279997124104,0.07,0.0,0.03093845024704933,1.0,-0.1315332055091858,0.3092815577983856,0.6000000238418579,0.26054003834724426
-4.80335342599757e-05,-0.011752865945931976,-0.008667097747366528,22.14,-16.02,1.0,0.09451582384718193,23624.726839456,0.04333654400033993,0.075,0.0,0.03093845024704933,1.0,-0.1315332055091858,0.3092815577983856,0.6000000238418579,0.26054003834724426
0.0028762802984604262,-0.0031350460220145133,-0.0025135632545524285,22.14,-16.02,1.0,-0.1343729972227905,23624.72684624,0.043343327997718006,0.08,0.0,0.5944983959197998,0.4699244499206543,-0.7711719274520874,0.4783495366573334,0.4409773647785187,0.06864842772483826
0.02588875205926391,0.0011401249873974166,0.0008427636991533745,21.96,-15.84,1.0,0.00296029541919296,23624.771447872,0.08794495999973151,0.085,0.0,0.5944983959197998,0.4699244499206543,-0.7711719274520874,0.4783495366573334,0.4409773647785187,0.06864842772483826
0.04118255634480598,0.033611564643561714,-0.006313088068255378,21.96,-15.84,1.0,0.06399731437118561,23624.771470048,0.08796713599804207,0.09,0.0,0.5944983959197998,0.4699244499206543,-0.7711719274520874,0.4783495366573334,0.4409773647785187,0.06864842772483826
0.052850408448630884,0.05190115133782604,0.021830918489914003,21.779999999999998,-15.84,1.0,0.21658986175116723,23624.771479424,0.08797651199711254,0.095,0.0,0.5944983959197998,0.4699244499206543,-0.7711719274520874,0.4783495366573334,0.4409773647785187,0.06864842772483826
0.06318276990627435,0.06557200808239226,0.04164833697469509,21.599999999999998,-15.479999999999999,1.0,0.06399731437118561,23624.771487008,0.08798409600058221,0.1,0.0,0.44165509939193726,0.25620973110198975,-0.9647492170333862,0.432496577501297,0.37686294317245483,0.01057523488998413
0.08549288320592945,0.08111115860248477,0.048939413285673104,21.24,-15.299999999999999,1.0,0.06399731437118561,23624.771494848,0.0879919359977066,0.105,0.0,0.44165509939193726,0.25620973110198975,-0.9647492170333862,0.432496577501297,0.37686294317245483,0.01057523488998413
0.10694279445979471,0.10443397462358225,0.06247448029809528,20.7,-14.94,1.0,0.17081209753717275,23624.771503552,0.08800064000024577,0.11,0.0,0.44165509939193726,0.25620973110198975,-0.9647492170333862,0.432496577501297,0.37686294317245483,0.01057523488998413
0.12265457762399327,0.11369454417775272,0.07325415362200814,19.98,-14.399999999999999,1.0,0.12503433332317826,23624.77151136,0.08800844799770857,0.115,0.0,0.44165509939193726,0.25620973110198975,-0.9647492170333862,0.432496577501297,0.37686294317245483,0.01057523488998413
0.13868203848689933,0.12476660295193259,0.08025223811332832,19.08,-13.68,1.0,-0.04281746879480153,23624.771518688,0.08801577600024757,0.12,0.0,0.4794793426990509,0.8756963014602661,-0.4965260624885559,0.443843811750412,0.5627089142799377,0.15104219317436218
0.15114038765352752,0.13714622511774038,0.09568851969009462,17.82,-12.6,1.0,-0.08859523300879601,23624.771526656,0.08802374399965629,0.125,0.0,0.4794793426990509,0.8756963014602661,-0.4965260624885559,0.443843811750412,0.5627089142799377,0.15104219317436218
0.15889787043042541,0.14883060443284712,0.10693235476758446,16.38,-11.7,1.0,0.33866389965515253,23624.812059328,0.12855641599890077,0.13,0.0,0.4794793426990509,0.8756963014602661,-0.4965260624885559,0.443843811750412,0.5627089142799377,0.15104219317436218
0.17392574897693733,0.16930606956693386,0.11242550437100185,14.76,-10.44,1.0,-0.1343729972227905,23624.812076416,0.12857350400008727,0.135,0.0,0.4794793426990509,0.8756963014602661,-0.4965260624885559,0.443843811750412,0.5627089142799377,0.15104219317436218
0.18661878992972517,0.1848060663489416,0.125307287157914,12.78,-9.0,1.0,0.20133060701316907,23624.81208608,0.12858316799975,0.14,0.0,1.0,0.3560553193092346,-0.5924670100212097,0.6000000238418579,0.40681660175323486,0.12225989997386932
0.1983202027022928,0.18985114045097728,0.1390875235205956,10.62,-7.38,1.0,0.20133060701316907,23624.812093056,0.12859014399873558,0.145,0.0,1.0,0.3560553193092346,-0.5924670100212097,0.6000000238418579,0.40681660175323486,0.12225989997386932
0.211647228043712,0.19436535137300084,0.14952571777155022,8.459999999999999,-5.9399999999999995,1.0,-0.04281746879480153,23624.812099648,0.12859673599814414,0.15,0.0,1.0,0.3560553193092346,-0.5924670100212097,0.6000000238418579,0.40681660175323486,0.12225989997386932
0.2241488087095353,0.2189966053016332,0.15500224132801887,5.9399999999999995,-4.14,1.0,-0.07333597827079785,23624.81210672,0.12860380799975246,0.155,0.0,1.0,0.3560553193092346,-0.5924670100212097,0.6000000238418579,0.40681660175323486,0.12225989997386932
0.2344223760645984,0.21970424807450428,0.15733409154568762,3.2399999999999998,-2.34,1.0,0.07925656910918377,23624.812113632,0.12861071999941487,0.16,0.0,1.0,1.0,-1.0,0.6000000238418579,0.6000000238418579,0.0
0.24625470965478738,0.23228173646001027,0.1589023409758847,0.54,-0.36,1.0,0.07925656910918377,23624.812121568,0.128618655999162,0.165,0.0,1.0,1.0,-1.0,0.6000000238418579,0.6000000238418579,0.0
0.2568715382335089,0.24617420414251986,0.15942187079866424,-1.7999999999999998,1.44,1.0,0.46073793755913783,23624.85648768,0.17298476799987839,0.17,0.0,1.0,1.0,-1.0,0.6000000238418579,0.6000000238418579,0.0
0.26623640895703515,0.26134083988413614,0.15859422155910297,-0.8999999999999999,1.98,1.0,-0.22592852565083454,23624.856499936,0.17299702399759553,0.175,0.0,1.0,1.0,-1.0,0.6000000238418579,0.6000000238418579,0.0
0.27475443486667,0.275708343116016,0.15864993333165506,0.18,2.6999999999999997,1.0,-0.07333597827079785,23624.856507712,0.17300479999903473,0.18,0.0,1.0,0.7277842164039612,-1.0,0.6000000238418579,0.5183352828025818,0.0
0.2821322656236735,0.2887560807619655,0.15845368997745615,1.44,3.5999999999999996,1.0,0.17081209753717275,23624.856514304,0.1730113919984433,0.185,0.0,1.0,0.7277842164039612,-1.0,0.6000000238418579,0.5183352828025818,0.0
0.28777364388964527,0.29940560915119785,0.15767892324927588,2.6999999999999997,4.32,1.0,-0.14963225196078866,23624.856521824,0.1730189119989518,0.19,0.0,1.0,0.7277842164039612,-1.0,0.6000000238418579,0.5183352828025818,0.0
0.295071875085014,0.3021854620241518,0.1576937089929074,3.2399999999999998,5.22,1.0,-0.16489150669878683,23624.856529408,0.1730264959987835,0.195,0.0,1.0,0.7277842164039612,-1.0,0.6000000238418579,0.5183352828025818,0.0
0.3037798130314473,0.30128471041146604,0.15774782771691984,3.5999999999999996,6.4799999999999995,1.0,-0.10385448774679418,23624.856537792,0.17303487999743083,0.2,0.0,1.0,1.0,0.7699652314186096,0.6000000238418579,0.6000000238418579,0.5309895873069763
0.3117671840070897,0.30633940202529825,0.1576016095943137,3.96,7.739999999999999,1.0,0.1097750785851801,23624.856545408,0.1730424960005621,0.205,0.0,1.0,1.0,0.7699652314186096,0.6000000238418579,0.6000000238418579,0.5309895873069763
0.3194582041761095,0.3081923748190973,0.1577147244997019,3.96,9.18,1.0,0.07925656910918377,23624.856553184,0.17305027199836331,0.21,0.0,1.0,1.0,0.7699652314186096,0.6000000238418579,0.6000000238418579,0.5309895873069763
0.32722847041532993,0.31283283864372186,0.15750209253631053,3.5999999999999996,10.799999999999999,1.0,0.06399731437118561,23624.897354432,0.21385151999857044,0.215,0.0,1.0,1.0,0.7699652314186096,0.6000000238418579,0.6000000238418579,0.5309895873069763
0.3331808657597774,0.330761161731028,0.15684418510524026,3.2399999999999998,12.6,1.0,0.06399731437118561,23624.897366816,0.2138639039985719,0.22,0.0,0.8682917356491089,0.5816440582275391,0.978969931602478,0.5604875683784485,0.47449323534965515,0.5936909914016724
0.3391082860978045,0.33492433727479803,0.1567643981733192,2.52,14.219999999999999,1.0,0.04873805963318745,23624.89737392,0.21387100799984182,0.225,0.0,0.8682917356491089,0.5816440582275391,0.978969931602478,0.5604875683784485,0.47449323534965515,0.5936909914016724
0.34567838867542244,0.3364725377305612,0.15691881605410207,1.7999999999999998,16.2,1.0,0.14029358806117642,23624.897380768,0.21387785600018105,0.23,0.0,0.8682917356491089,0.5816440582275391,0.978969931602478,0.5604875683784485,0.47449323534965515,0.5936909914016724
0.35269720161633683,0.3581947525930868,0.15601036754249026,0.8999999999999999,18.18,1.0,0.033478804895189285,23624.89738752,0.21388460799789755,0.235,0.0,0.8682917356491089,0.5816440582275391,0.978969931602478,0.5604875683784485,0.47449323534965515,0.5936909914016724
0.35878179143572836,0.36655976125073875,0.15484040633154458,-0.18,19.98,1.0,0.1097750785851801,23624.897394464,0.21389155199722154,0.24,0.0,0.275732159614563,1.0,1.0,0.38271966576576233,0.6000000238418579,0.6000000238418579
0.3664773680329401,0.3664797444039498,0.14989125337559028,-1.08,21.96,1.0,0.07925656910918377,23624.897401856,0.2138989439990837,0.245,0.0,0.275732159614563,1.0,1.0,0.38271966576576233,0.6000000238418579,0.6000000238418579
0.37397487464942897,0.37003927799482056,0.1410541165991359,-1.6199999999999999,23.58,1.0,-0.16489150669878683,23624.897408704,0.21390579199942295,0.25,0.0,0.275732159614563,1.0,1.0,0.38271966576576233,0.6000000238418579,0.6000000238418579
0.3804677569786056,0.3851391915113992,0.12936607453209656,-1.26,24.84,1.0,-0.05807672353279969,23624.941971712,0.2584687999988091,0.255,0.0,0.275732159614563,1.0,1.0,0.38271966576576233,0.6000000238418579,0.6000000238418579
0.38684635560008945,0.3871042134145669,0.11740549727086544,-0.72,25.919999999999998,1.0,0.00296029541919296,23624.941990656,0.25848774399855756,0.26,0.0,1.0,1.0,0.8327242136001587,0.6000000238418579,0.6000000238418579,0.5498172640800476
0.3922812981612912,0.3919612508287723,0.1077940633368686,0.18,26.82,1.0,0.2623676259651617,23624.941999872,0.2584969599993201,0.265,0.0,1.0,1.0,0.8327242136001587,0.6000000238418579,0.6000000238418579,0.5498172640800476
0.39685517668622583,0.39790529377711303,0.10358172380559282,1.26,27.54,1.0,0.00296029541919296,23624.942007488,0.2585045759988134,0.27,0.0,1.0,1.0,0.8327242136001587,0.6000000238418579,0.6000000238418579,0.5498172640800476
0.4015556392313381,0.40381994190367865,0.10278068730649333,2.6999999999999997,27.9,1.0,0.14029358806117642,23624.942014912,0.25851200000033714,0.275,0.0,1.0,1.0,0.8327242136001587,0.6000000238418579,0.6000000238418579,0.5498172640800476
0.4063548778859236,0.41180848607711845,0.10140683713846489,4.5,28.08,1.0,-0.10385448774679418,23624.942023232,0.2585203199996613,0.28,0.0,-1.0,1.0,-0.1693534255027771,0.0,0.6000000238418579,0.2491939812898636
