meas_pres_DF,meas_pres_F,meas_pres_G,wrist_angle_deg,wrist_velocity,grip_angle_deg,grip_velocity,flag,force_N,time,target_force,action_DF,action_F,action_G,cmd_DF,cmd_F,cmd_G
-0.008485239251609707,-0.00947021092040982,-0.0027381093957402876,0.18,0.0,9.54,0.0,1.0,0.05584887234106617,0.0,0.0,0.027427614,-0.02995296,-0.91487753,0.3082282841205597,0.29101411197334526,0.02553673982620239
-0.002417234487376244,-0.012984836308534635,-0.002240797514432457,0.18,0.0,9.54,0.0,1.0,-0.12726218451491178,0.005,0.0,0.027427614,-0.02995296,-0.91487753,0.3082282841205597,0.29101411197334526,0.02553673982620239
0.0018714549256802471,-0.01954509071029338,-0.0008745294209309862,0.18,0.0,9.54,0.0,1.0,-0.12726218451491178,0.01,0.0,0.027427614,-0.02995296,-0.91487753,0.3082282841205597,0.29101411197334526,0.02553673982620239
-0.003661998695135325,-0.021405117424947297,-0.00410538041510488,0.18,0.0,9.54,0.0,1.0,-0.11200292977691362,0.015,0.0,0.027427614,-0.02995296,-0.91487753,0.3082282841205597,0.29101411197334526,0.02553673982620239
-0.011266439971989324,-0.01619871346775177,-0.008966459328789887,0.18,0.0,9.54,0.0,1.0,-0.020447401348924643,0.02,0.0,0.12074487,0.1422319,-1.135764,0.33622346073389053,0.3426695689558983,0.0
-0.009879290087483695,-0.017087300191240298,-0.010901431330738103,0.18,0.0,9.54,0.0,1.0,-0.020447401348924643,0.025,0.0,0.12074487,0.1422319,-1.135764,0.33622346073389053,0.3426695689558983,0.0
-0.003744975423357228,-0.0069936784525037226,-0.008177688597449849,0.18,0.0,9.54,0.0,1.0,-0.09674367503891546,0.03,0.0,0.12074487,0.1422319,-1.135764,0.33622346073389053,0.3426695689558983,0.0
-0.009193648973359402,-0.012660039225613942,-0.0037449469655070565,0.18,0.0,9.54,0.0,1.0,-0.21881771294290076,0.035,0.0,0.12074487,0.1422319,-1.135764,0.33622346073389053,0.3426695689558983,0.0
-0.0068620700324087255,-0.016593058506056715,-0.006081134076690357,0.18,0.0,9.54,0.0,1.0,-0.05096591082492097,0.04,0.0,0.0933095,0.5846703,-0.95477307,0.32799284979701043,0.47540109157562255,0.013568079471588135
-0.007597169209678394,-0.0043963166962691065,-0.007656623649604242,0.18,0.0,9.54,0.0,1.0,-0.005188146610926481,0.045,0.0,0.0933095,0.5846703,-0.95477307,0.32799284979701043,0.47540109157562255,0.013568079471588135
-0.010393549089586942,0.014995580815038783,0.002895772199091364,0.18,0.0,9.54,0.0,1.0,-0.12726218451491178,0.05,0.0,0.0933095,0.5846703,-0.95477307,0.32799284979701043,0.47540109157562255,0.013568079471588135
-0.0006493604583327987,0.01932644093052403,-0.003138314327272927,0.18,0.0,9.36,-29037.489230769184,1.0,-0.14252143925290994,0.055,0.0,0.0933095,0.5846703,-0.95477307,0.32799284979701043,0.47540109157562255,0.013568079471588135
0.01546606268310624,0.042017757458194804,0.002272664979315822,0.36,29037.489230769228,9.18,-29037.489230769184,1.0,0.26947843867304044,0.06,0.0,0.71768445,0.7415957,-1.5068221,0.5153053343296051,0.5224787056446075,0.0
0.03468484065603322,0.06887079284231103,-0.001071498430886949,0.54,24354.023225806457,9.0,-24354.023225806413,1.0,-0.06622516556291913,0.065,0.0,0.71768445,0.7415957,-1.5068221,0.5153053343296051,0.5224787056446075,0.0
0.05167634049296952,0.079979717520359,-0.00046489751447266453,1.08,80890.14857142858,8.459999999999999,-80890.14857142871,1.0,-0.035706656086922806,0.07,0.0,0.71768445,0.7415957,-1.5068221,0.5153053343296051,0.5224787056446075,0.0
0.0783691653770112,0.09593128945591056,-0.0013196791577174882,1.6199999999999999,90596.96639999998,7.56,-150994.9439999999,1.0,0.04058961760306801,0.075,0.0,0.71768445,0.7415957,-1.5068221,0.5153053343296051,0.5224787056446075,0.0
0.08812267083414917,0.1209922214520786,-0.009825298866272732,2.34,120795.9552,6.66,-150994.9439999999,1.0,0.11688589129305882,0.08,0.0,0.833855,0.6540487,-2.3191001,0.5501564919948577,0.49621460437774656,0.0
0.12061786226091409,0.1414328223220896,-0.010967159975569287,3.2399999999999998,21.662804150215774,5.3999999999999995,-30.3279258103021,1.0,-0.18829920346690443,0.085,0.0,0.833855,0.6540487,-2.3191001,0.5501564919948577,0.49621460437774656,0.0
0.13124936881882424,0.14335407221833218,-0.005325734079978134,4.32,53926.76571428574,3.96,-71902.35428571426,1.0,0.010071108127071682,0.09,0.0,0.833855,0.6540487,-2.3191001,0.5501564919948577,0.49621460437774656,0.0
0.15193500046462438,0.18050786470828634,-0.01962672629335035,5.58,176160.76799999998,2.16,-251658.23999999996,1.0,-0.34089175084688605,0.095,0.0,0.833855,0.6540487,-2.3191001,0.5501564919948577,0.49621460437774656,0.0
