timestamp,exp_mode,cmd_DF,cmd_F,cmd_G,meas_pres_DF,meas_pres_F,meas_pres_G,meas_ang_wrist,meas_ang_hand,p_flag
0.013892173767089844,1,0.0,0.0,0.0,0.010027387250640197,-0.0154708603430089,0.004993687011483742,0.0,-0.0,1.0
0.013892173767089844,1,0.0,0.0,0.0,0.015456197405000796,-0.007668407596382107,-0.008386250976596874,0.0,-0.0,1.0
0.013892173767089844,1,0.0,0.0,0.0,0.002026351805050227,-0.00927712821002908,-0.00858369821200003,0.0,-0.0,1.0
0.013892173767089844,1,0.0,0.0,0.0,-0.014519499655080148,-0.014101825140051595,-0.007083898403668325,0.0,-0.0,1.0
0.013892173767089844,1,0.0,0.0,0.0,-0.023465773586059592,-0.00887156002420934,-0.005618793595669606,0.0,-0.0,1.0
0.013892173767089844,1,0.0,0.0,0.0,-0.02044428343547608,-0.006427447603937995,-0.0043112676929996175,0.0,-0.0,1.0
0.013892173767089844,1,0.0,0.0,0.0,-0.01700479416132559,-0.008086916383331484,-0.0026404446697625207,0.0,-0.0,1.0
0.013892173767089844,1,0.0,0.0,0.0,0.0032926822768201487,-0.011579273972896995,-0.015709379450947077,0.0,-0.0,1.0
0.013892173767089844,1,0.0,0.0,0.0,0.006413836181523176,-0.012113025937806129,-0.0044106433011088,0.0,-0.0,1.0
0.013892173767089844,1,0.0,0.0,0.0,-0.007202214351092286,-0.018462200980213533,-0.011751355875637554,0.0,-0.0,1.0
0.05431175231933594,1,0.0,0.0,0.0,-0.0021200328595560917,-0.002467448543296281,-0.003376858162807748,0.0,-0.0,1.0
0.05431175231933594,1,0.0,0.0,0.0,0.007391427190602104,-0.013794071243051806,0.0014305292672865996,0.0,-0.0,1.0
0.05431175231933594,1,0.0,0.0,0.0,0.012010498228351742,-0.024722950898814978,-0.006024977677052385,0.0,-0.0,1.0
0.05431175231933594,1,0.0,0.0,0.0,0.0038364593894374055,-0.014407022985069542,-0.0034968605001740372,0.0,-0.0,1.0
