meas_pres_DF,meas_pres_F,meas_pres_G,wrist_angle_deg,wrist_velocity,grip_angle_deg,grip_velocity,flag,force_N,time,target_force,action_DF,action_F,action_G,cmd_DF,cmd_F,cmd_G
-0.009376331555761836,-0.007726037555915924,-0.008152443548256538,1.98,0.0,7.02,0.0,1.0,-0.14252143925290994,0.0,0.0,0.34140778,1.4553636,-0.83959985,0.40242233276367184,0.6,0.04812004566192627
-0.013530309408160506,-0.018214714294150933,-0.012962069192103912,1.98,0.0,7.02,0.0,1.0,-0.34089175084688605,0.005,0.0,0.34140778,1.4553636,-0.83959985,0.40242233276367184,0.6,0.04812004566192627
-0.01571567263985874,-0.02283090473309451,-0.000652024927452,1.98,0.0,7.02,0.0,1.0,-0.035706656086922806,0.01,0.0,0.34140778,1.4553636,-0.83959985,0.40242233276367184,0.6,0.04812004566192627
-0.016850795265007202,-0.023123637724077047,-0.005306537149330237,1.98,0.0,7.02,0.0,1.0,-0.1577806939909081,0.015,0.0,0.34140778,1.4553636,-0.83959985,0.40242233276367184,0.6,0.04812004566192627
-0.011518971098628195,-0.027681252684290024,-0.01010793273701893,1.98,0.0,7.02,0.0,1.0,0.07110812707906433,0.02,0.0,0.74731255,2.1844656,-1.1656709,0.5241937637329102,0.6,0.0
-0.004027513000125012,-0.01776584630707432,0.0006021363986304056,1.98,0.0,7.02,0.0,1.0,-0.26459547715689524,0.025,0.0,0.74731255,2.1844656,-1.1656709,0.5241937637329102,0.6,0.0
0.002559633214381553,-0.010564419831385717,0.00576535371838333,1.98,0.0,7.02,0.0,1.0,-0.12726218451491178,0.03,0.0,0.74731255,2.1844656,-1.1656709,0.5241937637329102,0.6,0.0
0.004487735845264468,-0.006848246752883098,-0.006309347857281699,1.98,0.0,7.02,0.0,1.0,-0.21881771294290076,0.035,0.0,0.74731255,2.1844656,-1.1656709,0.5241937637329102,0.6,0.0
-0.0019880260724366586,-0.011390038226971549,-0.006724211891474397,1.98,0.0,7.02,0.0,1.0,-0.09674367503891546,0.04,0.0,0.9996252,2.530693,-1.5454926,0.5998875617980957,0.6,0.0
-0.011195558354283866,-0.007927966391233245,-0.0014404700894588792,1.98,0.0,7.02,0.0,1.0,-0.08148442030091729,0.045,0.0,0.9996252,2.530693,-1.5454926,0.5998875617980957,0.6,0.0
-0.0037471751833440315,0.005346411612960254,0.005744742373075223,1.98,0.0,6.84,-7703.8236734693755,1.0,-0.035706656086922806,0.05,0.0,0.9996252,2.530693,-1.5454926,0.5998875617980957,0.6,0.0
0.01215887453367788,0.021223737646896917,0.008642898293303768,2.16,18874.368000000017,6.66,-18874.36799999997,1.0,-0.17303994872890627,0.055,0.0,0.9996252,2.530693,-1.5454926,0.5998875617980957,0.6,0.0
0.023797883846890702,0.0341411226842368,0.0027523595980086216,2.34,21570.706285714252,6.4799999999999995,-21570.706285714357,1.0,-0.09674367503891546,0.06,0.0,1.14959,2.6308548,-1.8743343,0.6,0.6,0.0
0.05330190300253109,0.04315396512004502,0.007030068313153327,2.88,59603.26736842105,5.9399999999999995,-59603.26736842105,1.0,-0.2035584582049026,0.065,0.0,1.14959,2.6308548,-1.8743343,0.6,0.6,0.0
0.072895246059963,0.05481269510574714,-0.005355447167949075,3.42,61214.16648648649,5.22,-81618.88864864862,1.0,-0.14252143925290994,0.07,0.0,1.14959,2.6308548,-1.8743343,0.6,0.6,0.0
0.08787894627186388,0.08098192215726703,-0.007009285155403073,4.14,88820.55529411761,4.14,-133230.8329411765,1.0,-0.41718802453687687,0.075,0.0,1.14959,2.6308548,-1.8743343,0.6,0.6,0.0
0.1164746701587304,0.09828650407538865,-0.0029606043560979197,5.04,121770.1161290323,2.88,-170478.16258064512,1.0,-0.23407696768089892,0.08,0.0,1.0018057,2.3759494,-1.9178637,0.6,0.6,0.0
0.13960929014212886,0.1198525671417372,0.0069475653861313935,6.12,125829.12000000001,1.44,-167772.16,1.0,-0.24933622241889708,0.085,0.0,1.0018057,2.3759494,-1.9178637,0.6,0.6,0.0
0.15392761743462488,0.14407493254761627,0.011079431979830372,6.66,13.173065326633166,1.44,0.0,1.0,-0.1577806939909081,0.09,0.0,1.0018057,2.3759494,-1.9178637,0.6,0.6,0.0
0.17548937955996108,0.14723009829551115,0.014608227732456278,7.56,53926.765714285684,1.7999999999999998,21570.706285714277,1.0,-0.2035584582049026,0.095,0.0,1.0018057,2.3759494,-1.9178637,0.6,0.6,0.0
0.1961617787764932,0.16551490222266413,0.013632337583715844,8.64,113246.2080000001,2.16,37748.73600000003,1.0,-0.05096591082492097,0.1,0.0,1.2026001,2.2688072,-2.276409,0.6,0.6,0.0
0.21057354108470266,0.18593892633745152,0.010860122571552526,9.719999999999999,141557.75999999978,1.7999999999999998,-47185.92000000004,1.0,-0.3561510055848842,0.105,0.0,1.2026001,2.2688072,-2.276409,0.6,0.6,0.0
0.22668933654910128,0.20805233719529484,-0.0038552950773642594,11.16,188743.68000000017,1.26,-70778.87999999998,1.0,-0.34089175084688605,0.11,0.0,1.2026001,2.2688072,-2.276409,0.6,0.6,0.0
