time,pattern,bpm,obs_wrist,cmd_DF,real_P_DF,target_val
6.9760008045705035e-06,single_4,120.0,0.00942477796076938,-0.1219844,0.2634047,19.999999221366622
0.26822857600018324,single_4,120.0,0.00942477796076938,0.7670743,0.53012234,0.0
0.39601171200047247,single_4,120.0,0.18535396656179778,-1.0,0.0,0.0
0.4160801600000923,single_4,120.0,0.24818581963359365,-1.0,0.0,0.07148273242932121
0.43616060800013656,single_4,120.0,0.24818581963359365,-0.0058012307,0.29825965,0.7674805796904861
0.4562318080006662,single_4,120.0,0.3141592653589793,-1.0,0.0,4.319797684387112
0.4763115840005412,single_4,120.0,0.364424747816416,-0.6013285,0.11960146,12.766434621647697
0.4963843840005211,single_4,120.0,0.39269908169872414,-0.2622688,0.22131938,19.79192705987144
0.5164585600005012,single_4,120.0,0.3801327110843649,0.64891136,0.49467343,16.103311204529646
0.5365401280005244,single_4,120.0,0.3801327110843649,0.41367662,0.424103,6.872909400565131
0.5566177600003357,single_4,120.0,0.3267256359733385,0.6269314,0.48807946,1.539219816804541
0.5767007040003591,single_4,120.0,0.2513274122871834,0.74745184,0.52423555,0.18074535409364595
0.5967787200006569,single_4,120.0,0.16650441064025903,0.27392805,0.38217843,0.011140543668265057
0.6168569280007432,single_4,120.0,0.16964600329384882,-0.11015579,0.26695326,0.0
0.6369321920001312,single_4,120.0,0.16964600329384882,-0.08475734,0.27457282,0.0
0.6570101440001963,single_4,120.0,0.30159289474462014,0.16551235,0.34965372,0.0
0.6770959360001143,single_4,120.0,0.5152211951887261,0.54307854,0.4629236,0.0
0.7004147840007136,single_4,120.0,0.6974335690969341,0.6186067,0.48558202,0.0
0.7204937599999539,single_4,120.0,0.8450884238156544,0.7275631,0.51826894,0.0
0.7405679360008435,single_4,120.0,0.8450884238156544,0.6403864,0.4921159,0.0
0.7606470079999781,single_4,120.0,0.9456193887305278,0.86674726,0.5600242,0.0
0.7807219520000217,single_4,120.0,1.0147344271095031,0.81142473,0.54342747,0.0
0.8007973440007845,single_4,120.0,1.0210176124166828,0.5792452,0.47377357,0.0
0.8208733120000034,single_4,120.0,1.0210176124166828,-0.17503425,0.24748972,0.0
0.8409522560004916,single_4,120.0,0.9990264638415541,-0.7769836,0.06690492,0.0
0.8610268160000487,single_4,120.0,1.0021680564951438,-1.0,0.0,0.0
0.8811057279999659,single_4,120.0,1.0021680564951438,-1.0,0.0,0.0
0.9011795840006016,single_4,120.0,0.9833185005736051,-1.0,0.0,0.008093877064786691
0.9212604800004556,single_4,120.0,0.9833185005736051,-1.0,0.0,0.14026843010661166
