meas_pres_DF,meas_pres_F,meas_pres_G,wrist_angle_deg,grip_angle_deg,flag,force_N,time,target_force,action_DF,action_F,cmd_DF,cmd_F,cmd_G
0.00536871060858491,-0.0113317082933814,-0.00493428797846054,0.18,8.64,1,0.040589617603068,0,0,3.3118503,-54.660465,0.6,0,0.5
0.00057574893968434,-0.00767810672368581,0.000814092319675884,0.18,8.64,1,0.26947843867304,0.005,0,3.3118503,-54.660465,0.6,0,0.5
-0.0025744152569349,-0.0132359195060621,-0.00385848055602305,0.18,8.64,1,0.0711081270790643,0.01,0,3.3118503,-54.660465,0.6,0,0.5
-0.00744332062931812,-0.01463734220716,-0.00386194447802968,0.18,8.64,1,0.376293221839028,0.015,0,3.3118503,-54.660465,0.6,0,0.5
-0.00471702080009069,-0.0148453684963017,-0.00525432086257059,0.18,8.64,1,0.0558488723410662,0.02,0,5.281287,-93.35116,0.6,0,0.5
-0.00721735661831871,-0.0163524698333284,-0.00206922195159173,0.18,8.64,1,0.177922910245051,0.025,0,5.281287,-93.35116,0.6,0,0.5
-0.0102149559463869,-0.0021181374127213,-0.005225817469762,0.18,8.64,1,0.0711081270790643,0.03,0,5.281287,-93.35116,0.6,0,0.5
-0.00998001173065385,-0.0123281916571482,-0.00801408567600346,0.18,8.64,1,0.376293221839028,0.035,0,5.281287,-93.35116,0.6,0,0.5
-0.00616663429837832,-0.0120863030459615,0.00213302889946821,0.18,8.64,1,-0.14252143925291,0.04,0,2.8080032,-55.03759,0.6,0,0.5
-0.00674412886454039,-0.0189447855877004,-0.00569077119543346,0.18,8.64,1,0.406811731315024,0.045,0,2.8080032,-55.03759,0.6,0,0.5
-0.000277028677759313,-0.00901539361169979,-0.00218770920174978,0.18,8.64,1,-0.0357066560869228,0.05,0,2.8080032,-55.03759,0.6,0,0.5
0.00622302756892613,-0.022125685433125,-0.00860160670067858,0.18,8.64,1,0.330515457625033,0.055,0,2.8080032,-55.03759,0.6,0,0.5
0.00497926391002602,-0.00693459017152618,-0.00827774034925324,0.18,8.64,1,0.223700674459046,0.06,0,1.1230491,-46.601807,0.6,0,0.5
0.00377554086835411,-0.00849300838128749,-0.00848116739786916,0.18,8.64,1,0.467848750267017,0.065,0,1.1230491,-46.601807,0.6,0,0.5
0.000500492387036425,-0.00864347343730734,-0.00893208907853234,0.18,8.64,1,-0.00518814661092648,0.07,0,1.1230491,-46.601807,0.6,0,0.5
0.00339054696517338,-0.0124644697461186,-0.00643393382601969,0.18,8.64,1,0.345774712363031,0.075,0,1.1230491,-46.601807,0.6,0,0.5
0.00266250790326559,-0.0223945060642785,-0.00994441399448477,0.18,8.64,1,0.0711081270790643,0.08,0,1.2586597,-43.52864,0.6,0,0.5
-0.000704730515781534,-0.0196691805842814,-0.00864080218516618,0.18,8.64,1,0.254219183935042,0.085,0,1.2586597,-43.52864,0.6,0,0.5
-0.0085857259246077,-0.0200540405359276,-0.00912518143924497,0.18,8.64,1,-0.0204474013489246,0.09,0,1.2586597,-43.52864,0.6,0,0.5
-0.00729312410245458,-0.0192200984846856,-0.0137808656206413,0.18,8.64,1,0.452589495529018,0.095,0,1.2586597,-43.52864,0.6,0,0.5
-0.0122335117699266,-0.0162289221684009,-0.00694876869327905,0.18,8.64,1,-0.0357066560869228,0.1,0,1.4403435,-6.633226,0.6,0,0.5
-0.018709786369907,-0.0171582731407726,-0.00934833490935168,0.18,8.64,1,0.177922910245051,0.105,0,1.4403435,-6.633226,0.6,0,0.5
-0.0119461287252147,-0.0153429643561761,-0.00788731125404141,0.18,8.64,1,-0.0967436750389155,0.11,0,1.4403435,-6.633226,0.6,0,0.5
-0.0120608986015212,-0.0180426276507494,-0.00615351760206135,0.18,8.64,1,0.254219183935042,0.115,0,1.4403435,-6.633226,0.6,0,0.5
-0.0119097819232295,-0.00974665355996138,-0.0132659895925748,0.18,8.64,1,-0.203558458204903,0.12,0,0.81179863,-5.1123724,0.543539589643478,0,0.5
-0.0136619931717334,-0.00420341289895895,-0.00730092564933684,0.18,8.64,1,0.376293221839028,0.125,0,0.81179863,-5.1123724,0.543539589643478,0,0.5
-0.0166568938258662,-0.0180400528810827,-0.00654783636172494,0.18,8.64,1,0.0100711081270717,0.13,0,0.81179863,-5.1123724,0.543539589643478,0,0.5
-0.019382028637073,-0.0111013345453464,-0.00522978427520459,0.18,8.64,1,0.422070986053022,0.135,0,0.81179863,-5.1123724,0.543539589643478,0,0.5
-0.0184083517607326,-0.0111838569834949,-0.0151413174053523,0.18,8.64,1,-0.234076967680899,0.14,0,0.9671344,9.802269,0.590140324831009,0.6,0.5
-0.0190580512873124,-0.0149550945846613,-0.0061101137393332,0.18,8.64,1,0.116885891293059,0.145,0,0.9671344,9.802269,0.590140324831009,0.6,0.5
-0.0174621183991548,-0.0127920132653916,-0.00980847812178565,0.18,8.64,1,-0.0357066560869228,0.15,0,0.9671344,9.802269,0.590140324831009,0.6,0.5
-0.012796434343079,-0.00548709247425551,-0.0047199895718573,0.18,8.64,1,0.406811731315024,0.155,0,0.9671344,9.802269,0.590140324831009,0.6,0.5
-0.0145878086399434,-0.00884644832286384,-0.0121524221273777,0.18,8.64,1,0.101626636555061,0.16,0,1.464863,-43.58724,0.6,0,0.5
-0.0105084554595037,-0.0107608838821251,-0.00168971602752641,0.18,8.64,1,0.223700674459046,0.165,0,1.464863,-43.58724,0.6,0,0.5
-0.013789068114229,-0.0107640500473025,0.00242621057506275,0.18,8.64,1,0.284737693411039,0.17,0,1.464863,-43.58724,0.6,0,0.5
-0.0068860167370793,-0.00216208422249968,0.000337535509911092,0.18,8.64,1,0.19318216498305,0.175,0,1.464863,-43.58724,0.6,0,0.5
-0.0167103542699727,-0.00617857721642879,0.00909209852242161,0.18,8.64,1,0.147404400769055,0.18,0,0.749311,-4.4816647,0.524793291091919,0,0.5
