meas_pres_DF,meas_pres_F,meas_pres_G,wrist_angle_deg,grip_angle_deg,flag,force_N,time,target_force,action_DF,action_F,cmd_DF,cmd_F,cmd_G
-0.0317183130973259,-0.011619076481872,-0.00162668893734237,-0.18,9.54,1,0.0863673818170625,0,0,3.139521,-74.42565,0.6,0,0.5
-0.0307053825753479,-0.00902417725378686,-0.0157180836824512,-0.18,9.54,1,0.101626636555061,0.005,0,3.139521,-74.42565,0.6,0,0.5
-0.0161333131718529,-0.0104042301901311,-0.00647535962135773,-0.18,9.54,1,0.0863673818170625,0.01,0,3.139521,-74.42565,0.6,0,0.5
-0.0228585531824051,-0.00887786517926052,-0.0103531821318386,-0.18,9.54,1,-0.0204474013489246,0.015,0,3.139521,-74.42565,0.6,0,0.5
-0.0336701535294468,-0.0127750764155428,-0.0121353175631428,-0.18,9.54,1,0.391552476577026,0.02,0,2.8143857,-100.27833,0.6,0,0.5
-0.0401456861468483,-0.0116034136482112,0.000293455276809762,-0.18,9.54,1,0.0100711081270717,0.025,0,2.8143857,-100.27833,0.6,0,0.5
-0.0309202527425928,-0.0105794972805997,-0.00320883885889397,-0.18,9.54,1,0.19318216498305,0.03,0,2.8143857,-100.27833,0.6,0,0.5
-0.0201585934499755,-0.00393723193065994,0.00599993555784935,-0.18,9.54,1,0.208441419721048,0.035,0,2.8143857,-100.27833,0.6,0,0.5
-0.00636534602126916,-0.0101474253805045,0.00478464463074181,-0.18,9.54,1,0.223700674459046,0.04,0,0.9607856,-62.163124,0.588235688209534,0,0.5
-0.00679214869625464,-0.00348203980920478,-0.00927075594946269,-0.18,9.54,1,-0.0204474013489246,0.045,0,0.9607856,-62.163124,0.588235688209534,0,0.5
-0.0118123634913054,-0.0114395707148007,-0.00164789833360276,-0.18,9.54,1,0.238959929197044,0.05,0,0.9607856,-62.163124,0.588235688209534,0,0.5
-0.0133558319762774,-0.0105216661071711,-0.0109580849588557,-0.18,9.54,1,0.177922910245051,0.055,0,0.9607856,-62.163124,0.588235688209534,0,0.5
-0.0245074397663521,-0.0148428472929839,-0.0155559767405881,-0.18,9.54,1,0.254219183935042,0.06,0,1.503646,-66.89867,0.6,0,0.5
-0.0352516287512687,-0.00579779800744291,-0.00453950067551967,-0.18,9.54,1,-0.14252143925291,0.065,0,1.503646,-66.89867,0.6,0,0.5
-0.0296193855721066,-0.00593598162395127,-0.00947192940902839,-0.18,9.54,1,0.284737693411039,0.07,0,1.503646,-66.89867,0.6,0,0.5
-0.00424068167588633,-0.00392158627388298,-0.00345437503116816,-0.18,9.54,1,0.116885891293059,0.075,0,1.503646,-66.89867,0.6,0,0.5
0.0118573492878935,-0.0116371064213989,-0.015791570460511,-0.18,9.54,1,0.177922910245051,0.08,0,0.7909765,-20.259178,0.537292957305908,0,0.5
0.0107874408066986,-0.0163566627981591,-0.00275526212182041,-0.18,9.54,1,0.223700674459046,0.085,0,0.7909765,-20.259178,0.537292957305908,0,0.5
0.00489471058792236,-0.00170744076487166,-0.00323199768511582,-0.18,9.54,1,0.254219183935042,0.09,0,0.7909765,-20.259178,0.537292957305908,0,0.5
-0.0126830634350589,-0.00482351547864496,-0.00213724180159381,-0.18,9.54,1,0.162663655507053,0.095,0,0.7909765,-20.259178,0.537292957305908,0,0.5
-0.0249780505984854,-0.0120569565642535,-0.00945832617992497,-0.18,9.54,1,0.254219183935042,0.1,0,0.5575552,-31.166723,0.46726655960083,0,0.5
-0.0340645565163389,-0.00260846587823237,-0.0050406751732052,-0.18,9.54,1,-0.112002929776914,0.105,0,0.5575552,-31.166723,0.46726655960083,0,0.5
-0.0254384651636485,-0.000960389826032371,-0.0134809084972659,-0.18,9.54,1,0.299996948149037,0.11,0,0.5575552,-31.166723,0.46726655960083,0,0.5
-0.000977400100781825,-0.00851510063415162,0.00361090021589637,-0.18,9.54,1,-0.0204474013489246,0.115,0,0.5575552,-31.166723,0.46726655960083,0,0.5
0.0107095804547189,0.00808553505139411,-0.00434019454784279,-0.18,9.54,1,0.43733024079102,0.12,0,0.98789316,-10.219173,0.59636794924736,0,0.5
0.00571490277203951,-0.00544280826980278,-0.000212269790576914,-0.18,9.54,1,0.299996948149037,0.125,0,0.98789316,-10.219173,0.59636794924736,0,0.5
-0.0020695938201571,-0.00904126210713564,0.00260151103970175,-0.18,9.54,1,0.467848750267017,0.13,0,0.98789316,-10.219173,0.59636794924736,0,0.5
0.00320933389805146,-0.0204000580886697,-0.0031747560918191,-0.18,9.54,1,-0.157780693990908,0.135,0,0.98789316,-10.219173,0.59636794924736,0,0.5
-0.00740683981189684,-0.0256018110405473,0.00172297942344805,-0.18,9.54,1,0.26947843867304,0.14,0,0.8577619,-14.058662,0.557328575849533,0,0.5
-0.000234571926924872,-0.0272367154704876,0.00800431753770281,-0.18,9.54,1,-0.14252143925291,0.145,0,0.8577619,-14.058662,0.557328575849533,0,0.5
0.0113557015423623,-0.0208826180153209,-0.00608363574972322,-0.18,9.54,1,0.0863673818170625,0.15,0,0.8577619,-14.058662,0.557328575849533,0,0.5
0.0132729933607672,-0.015745128315822,0.00216155229462647,-0.18,9.54,1,-0.00518814661092648,0.155,0,0.8577619,-14.058662,0.557328575849533,0,0.5
0.0205238932084666,-0.0152665054513091,-0.00307034096503757,-0.18,9.54,1,0.559404278695006,0.16,0,1.0600684,-16.372944,0.6,0,0.5
0.00106476689381906,-0.0270778285637628,-0.0177719648789756,-0.18,9.54,1,0.0711081270790643,0.165,0,1.0600684,-16.372944,0.6,0,0.5
-0.00555029324826809,-0.017107941909726,-0.00325986908562279,-0.18,9.54,1,0.467848750267017,0.17,0,1.0600684,-16.372944,0.6,0,0.5
-0.00865717010393949,-0.013121043272652,-0.0108291306588255,-0.18,9.54,1,-0.112002929776914,0.175,0,1.0600684,-16.372944,0.6,0,0.5
-0.00391110389419181,-0.0127636867714485,-0.0155050960269957,-0.18,9.54,1,0.223700674459046,0.18,0,0.9699059,-8.426367,0.590971773862839,0,0.5
0.00487789324970801,-0.0190622678763575,-0.0127867892629999,-0.18,9.54,1,0.0558488723410662,0.185,0,0.9699059,-8.426367,0.590971773862839,0,0.5
-0.00350897263369998,-0.0100916461262903,-0.0179316212056421,-0.18,9.54,1,0.116885891293059,0.19,0,0.9699059,-8.426367,0.590971773862839,0,0.5
-0.00736257975030565,-0.00694126174933668,-0.00735358606123279,-0.18,9.54,1,-0.050965910824921,0.195,0,0.9699059,-8.426367,0.590971773862839,0,0.5
