meas_pres_DF,meas_pres_F,meas_pres_G,wrist_angle_deg,grip_angle_deg,flag,force_N,time,target_force,action_DF,action_F,cmd_DF,cmd_F,cmd_G
-0.00516253529815917,0.00618031440508141,0.00144224367088852,0.9,8.28,1,0.376293221839028,0,0,2.117407,-60.59011,0.6,0,0.5
-0.0169122493611511,0.0072712760162085,-0.00051320282741903,0.9,8.28,1,0.147404400769055,0.005,0,2.117407,-60.59011,0.6,0,0.5
-0.0080264382104738,0.0100362160281146,0.00318035778513392,0.9,8.28,1,0.330515457625033,0.01,0,2.117407,-60.59011,0.6,0,0.5
-0.0103827119090714,-0.00910532182597138,-0.00365758970684614,0.9,8.28,1,0.040589617603068,0.015,0,2.117407,-60.59011,0.6,0,0.5
-0.0124988146617277,-0.00833417137240456,-0.0073069805253406,0.9,8.28,1,0.376293221839028,0.02,0,1.6725448,-88.36844,0.6,0,0.5
-0.0148973725319895,-0.00262121105444195,0.004430842544246,0.9,8.28,1,-0.127262184514912,0.025,0,1.6725448,-88.36844,0.6,0,0.5
-0.0170206292482279,-0.00397089356869454,-0.00325393475855104,0.9,8.28,1,0.345774712363031,0.03,0,1.6725448,-88.36844,0.6,0,0.5
-0.00466787845667736,-0.0168850052655319,0.00661613350440852,0.9,8.28,1,0.101626636555061,0.035,0,1.6725448,-88.36844,0.6,0,0.5
-0.00887845437370006,-0.00770943528916726,0.0131948212980372,0.9,8.28,1,0.147404400769055,0.04,0,0.6059292,-50.33065,0.481778758764267,0,0.5
-0.00454178911671119,-0.00932975212540923,0.00432240180353977,0.9,8.28,1,0.162663655507053,0.045,0,0.6059292,-50.33065,0.481778758764267,0,0.5
-0.00914555006703222,-0.0156609577401381,0.000250529337062735,0.9,8.28,1,0.299996948149037,0.05,0,0.6059292,-50.33065,0.481778758764267,0,0.5
-0.0109462295277119,-0.0193089084296721,0.00362586354811525,0.9,8.28,1,0.26947843867304,0.055,0,0.6059292,-50.33065,0.481778758764267,0,0.5
-0.00941939692470513,-0.0164981853552391,0.00539474439431674,0.9,8.28,1,0.254219183935042,0.06,0,0.3293817,-36.18642,0.398814511299133,0,0.5
-0.00601044121721535,-0.0199808739855676,0.00686159115708941,0.9,8.28,1,0.0863673818170625,0.065,0,0.3293817,-36.18642,0.398814511299133,0,0.5
-0.0108585903582098,-0.0167680676524604,0.00707919379050004,0.9,8.28,1,0.19318216498305,0.07,0,0.3293817,-36.18642,0.398814511299133,0,0.5
-0.0154825589781986,-0.0149511646985344,0.0129701070028593,0.9,8.28,1,0.040589617603068,0.075,0,0.3293817,-36.18642,0.398814511299133,0,0.5
-0.0115690424438524,-0.0241270801699288,0.010559110875854,0.9,8.28,1,0.147404400769055,0.08,0,1.9874033,-45.08606,0.6,0,0.5
-0.0112819545028776,-0.0200595812553838,0.0111235212430173,0.9,8.28,1,-0.0814844203009173,0.085,0,1.9874033,-45.08606,0.6,0,0.5
-0.0107582280199311,-0.00968092508113804,0.00948463509025385,0.9,8.28,1,0.177922910245051,0.09,0,1.9874033,-45.08606,0.6,0,0.5
-0.0132738369616489,-0.0119862087571703,-0.00656192484481312,0.9,8.28,1,0.0253303628650698,0.095,0,1.9874033,-45.08606,0.6,0,0.5
-0.00726113746287085,-0.017316167376153,-0.0178988237729995,0.9,8.28,1,-0.0204474013489246,0.1,0,3.5998595,-69.72269,0.6,0,0.5
-0.00239011685304682,-0.0108742848971264,-0.0214859651639737,0.9,8.28,1,0.0253303628650698,0.105,0,3.5998595,-69.72269,0.6,0,0.5
-0.00682865912579447,-0.0144898374026284,-0.00484822332271898,0.9,8.28,1,0.208441419721048,0.11,0,3.5998595,-69.72269,0.6,0,0.5
-0.00475052231511115,-0.00503026231109042,-0.0137382971459894,0.9,8.28,1,-0.00518814661092648,0.115,0,3.5998595,-69.72269,0.6,0,0.5
-0.00938474627678028,-0.00822852121260857,-0.0159506161377978,0.9,8.28,1,0.254219183935042,0.12,0,2.387795,-66.98727,0.6,0,0.5
-0.0140383697417847,-0.00616558477847019,0.000554709528380292,0.9,8.28,1,0.116885891293059,0.125,0,2.387795,-66.98727,0.6,0,0.5
-0.00983816551293053,-0.000981420751926372,-0.0047484236451129,0.9,8.28,1,0.0863673818170625,0.13,0,2.387795,-66.98727,0.6,0,0.5
-0.00144201200404926,-0.0073806320735494,-0.0014581438628702,0.9,8.28,1,0.19318216498305,0.135,0,2.387795,-66.98727,0.6,0,0.5
0.00673692402330886,-0.00651964814156691,-0.0128414460946449,0.9,8.28,1,0.223700674459046,0.14,0,5.509695,-79.84158,0.6,0,0.5
0.00242271371181921,-0.00696162645797618,-0.00565787726809154,0.9,8.28,1,0.238959929197044,0.145,0,5.509695,-79.84158,0.6,0,0.5
0.000792346467319253,-0.000121372708473483,-0.0064797835150387,0.9,8.28,1,0.467848750267017,0.15,0,5.509695,-79.84158,0.6,0,0.5
-0.00197393441175502,0.00864820527459588,-0.00205068407240656,0.9,8.28,1,0.26947843867304,0.155,0,5.509695,-79.84158,0.6,0,0.5
0.0016169223032737,-0.0084212927783753,-0.0141620496012808,0.9,8.28,1,0.223700674459046,0.16,0,1.172561,-39.71008,0.6,0,0.5
-0.0102822476129847,2.3804479447174E-05,-0.00209098711322673,0.9,8.28,1,0.0100711081270717,0.165,0,1.172561,-39.71008,0.6,0,0.5
-0.0164592339233114,-0.00489572922410597,-0.00252483477674764,0.9,8.28,1,0.116885891293059,0.17,0,1.172561,-39.71008,0.6,0,0.5
-0.0235496938310263,-0.01682093202286,0.00590663091267215,0.9,8.28,1,0.238959929197044,0.175,0,1.172561,-39.71008,0.6,0,0.5
-0.0189205226251971,-0.0145476848501511,-0.0130814344407492,0.9,8.28,1,-0.0662251655629191,0.18,0,1.5330342,-84.16761,0.6,0,0.5
-0.0114258254787464,-0.0174483106921884,-0.018983205650696,0.9,8.28,1,-0.0204474013489246,0.185,0,1.5330342,-84.16761,0.6,0,0.5
-0.00584374469600893,-0.017297654790378,-0.00530569555836759,0.9,8.28,1,0.147404400769055,0.19,0,1.5330342,-84.16761,0.6,0,0.5
-0.000523826969796905,-0.0144017235593536,-0.0105317445417318,0.9,8.28,1,-0.00518814661092648,0.195,0,1.5330342,-84.16761,0.6,0,0.5
-0.00484390327418396,-0.0124967467845114,-0.0106186111241594,0.9,8.28,1,0.26947843867304,0.2,0,2.5406013,-86.9403,0.6,0,0.5
-0.00809657950843126,-0.0125280730691213,-0.00148951464068085,0.9,8.28,1,0.238959929197044,0.205,0,2.5406013,-86.9403,0.6,0,0.5
-0.00501173455147868,-0.00610772010139482,0.00234485780296468,0.9,8.28,1,0.299996948149037,0.21,0,2.5406013,-86.9403,0.6,0,0.5
