meas_pres_DF,meas_pres_F,meas_pres_G,wrist_angle_deg,wrist_velocity,grip_angle_deg,grip_velocity,flag,force_N,time,target_force,action_DF,action_F,action_G,cmd_DF,cmd_F,cmd_G
0.0003510069109577142,-0.011654819915252778,-0.0028954319025702078,0.18,0.0,9.54,0.0,1.0,-0.18829920346690443,0.0,0.0,-0.026513904,-0.7087812,-1.3335379,0.2920458287000656,0.0873656451702118,0.0
-0.00787027055135996,-0.007565473676670482,0.0011751867677296792,0.18,0.0,9.54,0.0,1.0,0.10162663655506066,0.005,0.0,-0.026513904,-0.7087812,-1.3335379,0.2920458287000656,0.0873656451702118,0.0
-0.010657019952034361,-0.002653908941241613,-0.007016539977974799,0.18,0.0,9.54,0.0,1.0,-0.21881771294290076,0.01,0.0,-0.026513904,-0.7087812,-1.3335379,0.2920458287000656,0.0873656451702118,0.0
-0.01910680738956751,-0.012245536742290026,-0.009485006057724892,0.18,0.0,9.54,0.0,1.0,-0.020447401348924643,0.015,0.0,-0.026513904,-0.7087812,-1.3335379,0.2920458287000656,0.0873656451702118,0.0
-0.014736689969003167,-0.008126223370849285,-0.009717538111696495,0.18,0.0,9.54,0.0,1.0,-0.14252143925290994,0.02,0.0,-0.09606347,-0.89364827,-1.6604106,0.27118095830082894,0.03190551996231079,0.0
-0.004560999731905821,-0.013437988612464672,-0.009290772353601352,0.18,0.0,9.54,0.0,1.0,0.07110812707906433,0.025,0.0,-0.09606347,-0.89364827,-1.6604106,0.27118095830082894,0.03190551996231079,0.0
0.0030925264051214515,-0.015724213951562132,-0.009011185760388368,0.18,0.0,9.54,0.0,1.0,0.0863673818170625,0.03,0.0,-0.09606347,-0.89364827,-1.6604106,0.27118095830082894,0.03190551996231079,0.0
0.013254222085666447,-0.026230307802090062,-0.005287378112581151,0.18,0.0,9.54,0.0,1.0,0.22370067445904596,0.035,0.0,-0.09606347,-0.89364827,-1.6604106,0.27118095830082894,0.03190551996231079,0.0
0.002086022862465267,-0.0255722168448762,-0.005752707197086664,0.18,0.0,9.54,0.0,1.0,-0.05096591082492097,0.04,0.0,-0.1754044,-0.9993839,-1.8530209,0.2473786801099777,0.00018482208251953123,0.0
-0.018732741786011826,-0.026578728598481934,-0.006283641055259555,0.18,0.0,9.54,0.0,1.0,0.04058961760306801,0.045,0.0,-0.1754044,-0.9993839,-1.8530209,0.2473786801099777,0.00018482208251953123,0.0
-0.01766153843128379,-0.013825889737846113,-0.0011308362310434204,0.18,0.0,9.54,0.0,1.0,0.11688589129305882,0.05,0.0,-0.1754044,-0.9993839,-1.8530209,0.2473786801099777,0.00018482208251953123,0.0
-0.01446968320955653,-0.0142115148401999,-0.006210773014802004,0.18,0.0,9.54,0.0,1.0,0.10162663655506066,0.055,0.0,-0.1754044,-0.9993839,-1.8530209,0.2473786801099777,0.00018482208251953123,0.0
-0.012099568163488148,-0.007742096687518723,-0.008354659176840858,0.18,0.0,9.54,0.0,1.0,-0.3561510055848842,0.06,0.0,-0.2355107,-1.0668923,-1.9584321,0.2293467879295349,0.0,0.0
-0.010140198236554649,-0.013448572184289527,-0.0023332112388532076,0.18,0.0,9.54,0.0,1.0,0.19318216498304963,0.065,0.0,-0.2355107,-1.0668923,-1.9584321,0.2293467879295349,0.0,0.0
0.006465481630506518,-0.0038933331003349414,-0.006649814765296543,0.36,21570.706285714285,9.36,-21570.706285714252,1.0,-0.26459547715689524,0.07,0.0,-0.2355107,-1.0668923,-1.9584321,0.2293467879295349,0.0,0.0
0.029868664624779294,-7.34819225626952e-05,-0.0076658995098708915,0.54,20971.520000000004,9.0,-41943.039999999935,1.0,0.1626636555070533,0.075,0.0,-0.2355107,-1.0668923,-1.9584321,0.2293467879295349,0.0,0.0
0.04280855444868398,0.005503737333730327,-0.005108591941004367,0.8999999999999999,41943.039999999986,8.64,-41943.039999999935,1.0,-0.11200292977691362,0.08,0.0,-0.27057773,-1.1647315,-2.0683231,0.21882668137550354,0.0,0.0
0.07142914891532917,-0.003616429893262899,-0.01085621119238769,1.44,13.343097941029193,8.1,-13.343097941029214,1.0,0.2084414197210478,0.085,0.0,-0.27057773,-1.1647315,-2.0683231,0.21882668137550354,0.0,0.0
0.09126295895419474,0.01717488031592839,-0.0016347323998083677,1.98,23111.471020408164,7.199999999999999,-38519.11836734696,1.0,-0.020447401348924643,0.09,0.0,-0.27057773,-1.1647315,-2.0683231,0.21882668137550354,0.0,0.0
0.09877934970931139,0.013145603912861046,-0.00862036813399984,2.88,82062.46956521738,5.9399999999999995,-114887.45739130433,1.0,0.2084414197210478,0.095,0.0,-0.27057773,-1.1647315,-2.0683231,0.21882668137550354,0.0,0.0
0.12146592176830949,0.006421417221447665,-0.007047711118713717,3.78,114390.10909090909,4.68,-160146.1527272727,1.0,-0.29511398663289157,0.1,0.0,-0.26965615,-1.1593605,-2.071635,0.21910315454006193,0.0,0.0
0.13952155965618465,0.020775854510923154,-0.007066340708196641,4.859999999999999,141557.75999999995,3.06,-212336.63999999996,1.0,-0.005188146610926481,0.105,0.0,-0.26965615,-1.1593605,-2.071635,0.21910315454006193,0.0,0.0
0.15206326195999498,0.013270997091469764,-0.008463218854230323,6.12,155435.97176470596,1.44,-199846.24941176473,1.0,-0.3714102603228824,0.11,0.0,-0.26965615,-1.1593605,-2.071635,0.21910315454006193,0.0,0.0
0.16055583691283112,0.013247712905483685,-0.009050242130776405,7.38,155435.97176470584,-0.18,-199846.2494117647,1.0,0.2084414197210478,0.115,0.0,-0.26965615,-1.1593605,-2.071635,0.21910315454006193,0.0,0.0
0.1692307580344674,0.024630248960934763,-0.017535934908585075,7.739999999999999,47185.919999999925,0.18,47185.92,1.0,-0.09674367503891546,0.12,0.0,-0.2640806,-1.5605885,-2.526286,0.22077581584453582,0.0,0.0
0.1748512140081745,0.012705269586319035,-0.014170582726158974,8.459999999999999,16.528643565927954,0.8999999999999999,16.52864356592796,1.0,-0.12726218451491178,0.125,0.0,-0.2640806,-1.5605885,-2.526286,0.22077581584453582,0.0,0.0
0.18104036238339982,0.0024079037319309246,-0.008320639778991083,9.0,26033.611034482805,1.6199999999999999,34711.481379310346,1.0,-0.31037324137088973,0.13,0.0,-0.2640806,-1.5605885,-2.526286,0.22077581584453582,0.0,0.0
0.18826289629107074,0.005528752694102096,-0.008481369378469848,9.719999999999999,70230.2065116278,2.34,70230.2065116279,1.0,0.22370067445904596,0.135,0.0,-0.2640806,-1.5605885,-2.526286,0.22077581584453582,0.0,0.0
0.1909604576248107,-0.004735266318714613,-0.007850968073832114,10.44,86282.82514285723,2.6999999999999997,43141.412571428555,1.0,-0.41718802453687687,0.14,0.0,-0.11377058,-1.195937,-2.3611147,0.2658688254654407,0.0,0.0
0.19450217404674605,-0.0011556794731149898,-0.007737006656853842,11.16,88820.55529411773,3.2399999999999998,66615.41647058824,1.0,0.10162663655506066,0.145,0.0,-0.11377058,-1.195937,-2.3611147,0.2658688254654407,0.0,0.0
0.1989806799879471,0.0113852212293608,-0.008812012233876093,11.879999999999999,83886.07999999987,3.5999999999999996,41943.039999999986,1.0,-0.14252143925290994,0.15,0.0,-0.11377058,-1.195937,-2.3611147,0.2658688254654407,0.0,0.0
0.20164024774189143,0.002036734752947336,-0.006092966018926376,12.6,86282.82514285723,3.78,21570.706285714306,1.0,-0.08148442030091729,0.155,0.0,-0.11377058,-1.195937,-2.3611147,0.2658688254654407,0.0,0.0
0.20400152967059693,0.0072756765855997154,-0.006695605898509819,13.32,88820.55529411773,3.96,22205.138823529433,1.0,-0.17303994872890627,0.16,0.0,-0.11165256,-0.9958687,-2.2578566,0.2665042318403721,0.0012393951416015624,0.0
0.20720724017404213,0.006500921976006276,-0.008928380624139236,13.86,59603.26736842096,4.32,39735.5115789474,1.0,-0.035706656086922806,0.165,0.0,-0.11165256,-0.9958687,-2.2578566,0.2665042318403721,0.0012393951416015624,0.0
0.209368105978725,0.021024160873039623,-0.0049515947852737455,14.58,17.349857691932062,4.5,4.337464422983005,1.0,-0.3256324961088879,0.17,0.0,-0.11165256,-0.9958687,-2.2578566,0.2665042318403721,0.0012393951416015624,0.0
0.21026445512539743,0.011100883927602017,0.0033656880642644223,15.12,31900.34028169009,4.68,10633.446760563364,1.0,-0.08148442030091729,0.17500000000000002,0.0,-0.11165256,-0.9958687,-2.2578566,0.2665042318403721,0.0012393951416015624,0.0
0.21267939205578587,0.01119123547966176,0.001133321997388489,15.66,58074.97846153856,5.04,38716.65230769234,1.0,-0.09674367503891546,0.18,0.0,-0.053110637,-0.70876837,-2.254015,0.2840668089687824,0.08736948966979981,0.0
0.2138733734844079,-0.0001572065577570045,0.00063211876093317,16.2,66615.41647058813,5.3999999999999995,44410.277647058756,1.0,-0.06622516556291913,0.185,0.0,-0.053110637,-0.70876837,-2.254015,0.2840668089687824,0.08736948966979981,0.0
0.21553628898326713,0.006687792838044399,-0.002050223194046781,16.74,78100.83310344815,5.76,52067.222068965566,1.0,-0.3561510055848842,0.19,0.0,-0.053110637,-0.70876837,-2.254015,0.2840668089687824,0.08736948966979981,0.0
0.21983863397236322,0.00496391464705829,-0.00962095361005494,17.099999999999998,39735.511578947306,6.12,39735.5115789474,1.0,-0.020447401348924643,0.195,0.0,-0.053110637,-0.70876837,-2.254015,0.2840668089687824,0.08736948966979981,0.0
0.225022231533684,0.005346364821356936,-0.009926218884566664,17.46,45756.04363636402,6.4799999999999995,45756.04363636357,1.0,-0.12726218451491178,0.2,0.0,-0.010840945,-0.53923345,-2.200042,0.2967477165162563,0.13822996616363525,0.0
0.2281366548047615,-0.0022616174466835977,-0.006477840984997179,17.82,43141.412571428504,6.84,43141.41257142861,1.0,-0.2035584582049026,0.20500000000000002,0.0,-0.010840945,-0.53923345,-2.200042,0.2967477165162563,0.13822996616363525,0.0
0.23292249760304604,0.0035860204845795255,-0.0033495896722711056,18.18,8.285681424087434,7.02,4.142840712043717,1.0,0.07110812707906433,0.21,0.0,-0.010840945,-0.53923345,-2.200042,0.2967477165162563,0.13822996616363525,0.0
0.23746773870389426,-0.0011238393006980797,-0.007812285707242611,18.54,19867.755789473653,7.38,19867.7557894737,1.0,0.025330362865069844,0.215,0.0,-0.010840945,-0.53923345,-2.200042,0.2967477165162563,0.13822996616363525,0.0
0.24125058692185153,0.0004176917731656182,-0.00852307879986163,18.72,18874.36799999997,7.56,18874.36799999997,1.0,-0.31037324137088973,0.22,0.0,0.09060754,-0.31752643,-2.1728535,0.3271822616457939,0.2047420710325241,0.0
0.24480088565005403,-0.008479337363091553,-0.010657058601488559,19.08,44410.277647058756,7.739999999999999,22205.138823529378,1.0,-0.035706656086922806,0.225,0.0,0.09060754,-0.31752643,-2.1728535,0.3271822616457939,0.2047420710325241,0.0
0.249097363346052,-0.008443694242722934,-0.015371804881320856,19.439999999999998,41943.039999999935,7.92,20971.52000000007,1.0,-0.2035584582049026,0.23,0.0,0.09060754,-0.31752643,-2.1728535,0.3271822616457939,0.2047420710325241,0.0
0.25186310990410427,-0.009187866917252157,-0.011717587927129349,19.8,35115.10325581425,7.92,0.0,1.0,0.17792291024505147,0.23500000000000001,0.0,0.09060754,-0.31752643,-2.1728535,0.3271822616457939,0.2047420710325241,0.0
0.2544733743366889,-0.009601610588185351,-0.0020489745240222213,20.16,43141.412571428504,7.92,0.0,1.0,-0.34089175084688605,0.24,0.0,0.17139176,-0.26198262,-2.2005024,0.35141752660274506,0.2214052140712738,0.0
0.2588143240853036,-0.005367908385623913,-0.011102433910383182,20.52,44410.277647058756,7.739999999999999,-22205.138823529487,1.0,-0.005188146610926481,0.245,0.0,0.17139176,-0.26198262,-2.2005024,0.35141752660274506,0.2214052140712738,0.0
0.26180826124142986,0.0019960073053126655,-0.005333921718099031,20.88,44410.277647058756,7.56,-22205.138823529378,1.0,-0.17303994872890627,0.25,0.0,0.17139176,-0.26198262,-2.2005024,0.35141752660274506,0.2214052140712738,0.0
0.2636013793186092,0.01136864531889246,0.00037959502935458364,21.24,8.73954946403351,7.38,-4.369774732016755,1.0,-0.06622516556291913,0.255,0.0,0.17139176,-0.26198262,-2.2005024,0.35141752660274506,0.2214052140712738,0.0
0.26783229148693805,0.007318963964458728,7.777289669822534e-05,21.779999999999998,30198.988799999952,7.02,-20132.659200000016,1.0,-0.23407696768089892,0.26,0.0,0.28342775,-0.09563133,-2.1542866,0.3850283235311508,0.2713106006383896,0.0
0.2717564649611071,0.024546967526871737,-0.0022079141188691438,22.14,30198.98880000025,6.66,-30198.988799999952,1.0,0.025330362865069844,0.265,0.0,0.28342775,-0.09563133,-2.1542866,0.3850283235311508,0.2713106006383896,0.0
0.27450922024162633,0.03904576450574967,0.0008396547339028034,22.68,62914.5599999999,6.12,-62914.560000000005,1.0,-0.17303994872890627,0.27,0.0,0.28342775,-0.09563133,-2.1542866,0.3850283235311508,0.2713106006383896,0.0
0.2796575446782275,0.039395076092943085,-0.0026448716944948787,23.22,64712.118857142756,5.58,-64712.118857142865,1.0,0.025330362865069844,0.275,0.0,0.28342775,-0.09563133,-2.1542866,0.3850283235311508,0.2713106006383896,0.0
0.28535180635132135,0.06934892402611435,-0.009196059129315178,23.759999999999998,62914.5599999999,4.859999999999999,-83886.08000000007,1.0,-0.29511398663289157,0.28,0.0,0.36682567,-0.2904993,-2.3552856,0.4100477010011673,0.21285021007061003,0.0
0.28850204930064033,0.07994201837938848,-0.008574989527918611,24.3,68634.0654545458,4.14,-91512.08727272724,1.0,-0.12726218451491178,0.28500000000000003,0.0,0.36682567,-0.2904993,-2.3552856,0.4100477010011673,0.21285021007061003,0.0
0.29342789912180944,0.0907262493220934,-0.007739655396352497,25.02,88820.55529411751,3.2399999999999998,-111025.69411764704,1.0,0.04058961760306801,0.29,0.0,0.36682567,-0.2904993,-2.3552856,0.4100477010011673,0.21285021007061003,0.0
0.29926406593752597,0.10246249670529811,-0.0030723091595492207,25.74,16.2422154693458,2.34,-20.30276933668228,1.0,0.17792291024505147,0.295,0.0,0.36682567,-0.2904993,-2.3552856,0.4100477010011673,0.21285021007061003,0.0
0.3030129046945709,0.10395397181183968,0.00015459593585521634,26.459999999999997,41943.039999999935,1.26,-62914.55999999999,1.0,-0.21881771294290076,0.3,0.0,0.4966174,-0.07836332,-2.2797792,0.44898522198200225,0.27649100348353384,0.0
0.30673216503129724,0.11542445763941714,0.0006778159500064948,27.18,79471.023157895,0.18,-119206.5347368421,1.0,-0.18829920346690443,0.305,0.0,0.4966174,-0.07836332,-2.2797792,0.44898522198200225,0.27649100348353384,0.0
0.31264516371440093,0.12476830448370192,0.002507996996540566,27.72,61214.16648648639,-0.18,-40809.44432432432,1.0,-0.43244727927487503,0.31,0.0,0.4966174,-0.07836332,-2.2797792,0.44898522198200225,0.27649100348353384,0.0
0.3173967861556592,0.14357966645303147,-0.014186729708275182,28.08,50331.64799999992,0.18,50331.648,1.0,0.19318216498304963,0.315,0.0,0.4966174,-0.07836332,-2.2797792,0.44898522198200225,0.27649100348353384,0.0
0.3210586303780916,0.14653591669390706,-0.009963418985795905,28.439999999999998,10862.945611510775,0.36,5431.472805755396,1.0,-0.05096591082492097,0.32,0.0,0.56570417,-0.2639156,-2.4534092,0.4697112500667572,0.22082532048225403,0.0
0.32729484538812686,0.1489089836979214,-0.0193802403304215,28.98,44410.27764705905,0.72,29606.85176470588,1.0,-0.020447401348924643,0.325,0.0,0.56570417,-0.2639156,-2.4534092,0.4697112500667572,0.22082532048225403,0.0
0.33225005387154,0.16352133577798705,-0.01955059239293156,29.52,66615.41647058813,0.72,0.0,1.0,-0.23407696768089892,0.33,0.0,0.56570417,-0.2639156,-2.4534092,0.4697112500667572,0.22082532048225403,0.0
0.3354242825664728,0.17691949622597838,-0.010898893931149645,30.24,88820.55529411751,0.54,-22205.138823529403,1.0,0.025330362865069844,0.335,0.0,0.56570417,-0.2639156,-2.4534092,0.4697112500667572,0.22082532048225403,0.0
0.34196364110854127,0.18937880688585174,-0.009287367692462335,30.959999999999997,17.492159427257377,0.18,-8.746079713628703,1.0,-0.23407696768089892,0.34,0.0,0.64852744,-0.054996297,-2.3501384,0.4945582330226898,0.28350111097097397,0.0
0.34757985910299777,0.18406124170396732,-0.007289888407006292,31.68,42533.787042253665,-0.18,-21266.89352112676,1.0,-0.035706656086922806,0.34500000000000003,0.0,0.64852744,-0.054996297,-2.3501384,0.4945582330226898,0.28350111097097397,0.0
