timestamp_pc,meas_pres_DF,meas_pres_F,meas_pres_G,angle_deg,velocity,flag,force_N,time,cmd_DF,cmd_F,cmd_G
170336.959229216,-0.027098092059283648,-0.008045090195091423,-0.02660406048283825,-1.98,0.0,1.0,0.04058961760306801,0.0,0.5,0.0999999999999999,0.5
170336.959606336,-0.025633897748902623,-0.011033916307559948,-0.02095357799550485,-1.98,0.0,1.0,0.04058961760306801,0.005,0.5,0.0999999999999999,0.5
170336.959691008,-0.030768045999087064,-0.011626082467661423,-0.0008000067077127617,-1.98,0.0,1.0,-0.08148442030091729,0.01,0.5,0.0999999999999999,0.5
170336.959728896,-0.03441512333551209,-0.0077313706470597526,-0.01282878096709355,-1.98,0.0,1.0,0.07110812707906433,0.015,0.5,0.0999999999999999,0.5
170336.959783232,-0.03862226509009646,-0.01815216547282868,-0.008134470263865438,-1.98,0.0,1.0,-0.26459547715689524,0.02,0.4999834256061356,0.1000165743938643,0.5
170336.959881888,-0.04012850592195631,-0.022323731167070145,-0.010211525729605531,-1.98,0.0,1.0,0.19318216498304963,0.025,0.4999834256061356,0.1000165743938643,0.5
170336.959903808,-0.01448385139196856,-0.009155849514203342,-0.0031869876563165866,-1.98,0.0,1.0,-0.14252143925290994,0.03,0.4999834256061356,0.1000165743938643,0.5
170336.959925696,0.0018294828850224753,-0.008276270567098861,-0.008993479619964904,-1.98,0.0,1.0,0.23895992919704412,0.035,0.4999834256061356,0.1000165743938643,0.5
170337.0029608,0.014445973513759957,0.0007676740647659587,0.010186495411931371,-1.98,0.0,1.0,-0.3256324961088879,0.04,0.4999304966816294,0.1000695033183705,0.5
170337.002975488,0.01869508548017489,-0.017065249640443522,-0.005068083337362062,-1.98,0.0,1.0,-0.020447401348924643,0.045,0.4999304966816294,0.1000695033183705,0.5
170337.00300288,0.02199093977209852,-0.010734723651188653,0.0010679521180900738,-1.98,0.0,1.0,-0.05096591082492097,0.05,0.4999304966816294,0.1000695033183705,0.5
170337.003007232,0.01611672698638288,-0.0003079756897596478,-0.010748407064449076,-1.98,0.0,1.0,0.025330362865069844,0.055,0.4999304966816294,0.1000695033183705,0.5
170337.003010272,0.02545711563141895,-0.0016314481510930807,-0.02079803442861018,-1.98,0.0,1.0,-0.17303994872890627,0.06,0.4998362402903976,0.1001637597096024,0.5
170337.00301408,0.009108548059900036,-0.011482238443513818,-0.015824906818972157,-1.98,0.0,1.0,0.010071108127071682,0.065,0.4998362402903976,0.1001637597096024,0.5
170337.003018336,-0.0025205265534332063,-0.00796670639804843,-0.012207596372528282,-1.98,0.0,1.0,0.010071108127071682,0.07,0.4998362402903976,0.1001637597096024,0.5
170337.003021952,0.002994043798458914,-0.01328257759407486,-0.011615593239901727,-1.98,0.0,1.0,0.0863673818170625,0.075,0.4998362402903976,0.1001637597096024,0.5
170337.003025312,0.010341803366596293,-0.013004402603918348,-0.006025056314847464,-1.7999999999999998,0.0,1.0,-0.12726218451491178,0.08,0.4996954671506069,0.100304532849393,0.5
170337.046825984,0.030909694283137605,-0.014775301139859927,0.010586763001238782,-1.6199999999999999,0.0,1.0,-0.035706656086922806,0.085,0.4996954671506069,0.100304532849393,0.5
170337.046848192,0.0616005723842997,-0.017688515114861744,0.015432119208085512,-1.44,0.0,1.0,-0.14252143925290994,0.09,0.4996954671506069,0.100304532849393,0.5
170337.046856704,0.07734803749060791,-0.00429324687658783,0.03497470062979318,-1.08,0.0,1.0,0.14740440076905514,0.095,0.4996954671506069,0.100304532849393,0.5
170337.046863968,0.08513595994961652,0.011105819935269075,0.05543282355766804,-0.72,0.0,1.0,-0.035706656086922806,0.1,0.4995027756342068,0.1004972243657931,0.5
170337.046870464,0.11984118353235258,0.022055135280314928,0.08120992696630105,-0.18,0.0,1.0,0.05584887234106617,0.105,0.4995027756342068,0.1004972243657931,0.5
170337.046878048,0.1249878065750452,0.03698621281970987,0.09164506209465338,0.36,0.0,1.0,-0.05096591082492097,0.11,0.4995027756342068,0.1004972243657931,0.5
170337.04688528,0.1378413666408491,0.03736658591780767,0.11312287918741654,1.08,0.0,1.0,0.34577471236303126,0.115,0.4995027756342068,0.1004972243657931,0.5
