timestamp_pc,meas_pres_DF,meas_pres_F,meas_pres_G,angle_deg,velocity,flag,force_N,time,cmd_DF,cmd_F,cmd_G
170585.752376896,-0.011092310551817235,-0.008020728362486578,-0.016253036799334892,0.72,7.56,1.0,0.0863673818170625,0.0,0.0,0.2,0.5
170585.752528096,-0.014139691313359504,-0.011441005238217923,-0.011915096591390069,0.72,7.56,1.0,0.10162663655506066,0.005,0.0,0.2,0.5
170585.752537824,-0.0024905498973430903,0.004432208797474953,-0.009074683723601495,0.72,7.56,1.0,0.010071108127071682,0.01,0.0,0.2,0.5
170585.752544608,-0.012236853723338747,-0.0015290580512581098,-0.009007097519034649,0.72,7.56,1.0,0.11688589129305882,0.015,0.0,0.2,0.5
170585.752551008,-0.003119280283674873,-0.021916838692703628,-0.006617596726164179,0.72,7.56,1.0,0.010071108127071682,0.02,0.0,0.2,0.5
170585.752558272,-1.3604534943999568e-05,-0.025790492784449018,-0.008213191038072306,0.72,7.56,1.0,0.2084414197210478,0.025,0.0,0.2,0.5
170585.752564672,0.005850216803123842,-0.02270782740983027,-0.004291094675689841,0.72,7.56,1.0,0.010071108127071682,0.03,0.0,0.2,0.5
170585.752570848,0.0025723030622074178,-0.021975516988187116,-0.011950403031624502,0.72,7.56,1.0,-0.06622516556291913,0.035,0.0,0.2,0.5
170585.795712864,-0.0002410455922149661,-0.018116481341122537,-0.009293758698095027,0.72,7.56,1.0,0.2542191839350423,0.04,0.0,0.2,0.5
170585.795736928,0.0025092506537090294,-0.011464320403647069,-0.005620307942545859,0.72,7.56,1.0,0.0863673818170625,0.045,0.0,0.2,0.5
170585.795780064,-0.0036434321377522595,-0.007384751573613217,-0.005905458330557477,0.72,7.56,1.0,0.10162663655506066,0.05,0.0,0.2,0.5
170585.79578928,-0.00047319565212192665,-0.008269282880803312,-0.003882241580684201,0.72,7.56,1.0,0.2542191839350423,0.055,0.0,0.2,0.5
170585.795795712,0.0011366768642394776,-0.013551817287874213,-0.006928676013570418,0.72,7.56,1.0,0.2084414197210478,0.06,0.0,0.2,0.5
170585.795803648,-0.012046131096264151,-0.0050541472349288135,-0.002172175513071968,0.72,7.56,1.0,0.2542191839350423,0.065,0.0,0.2,0.5
170585.795811264,-0.012901692829233653,-0.006749801448789193,0.00948298160184033,0.72,7.56,1.0,0.22370067445904596,0.07,0.0,0.2,0.5
170585.795818944,-0.02115400337408747,-0.007906935488978438,0.02445352766342719,0.72,7.56,1.0,0.025330362865069844,0.075,0.0,0.2,0.5
170585.795825344,-0.017691467556738217,-0.005411745428656055,0.0280562116257851,0.72,7.56,1.0,0.3762932218390276,0.08,0.0,0.2,0.5
170585.840208416,-0.013245205419483276,0.016770617895551596,0.045969010779325116,0.72,7.56,1.0,-0.05096591082492097,0.085,0.0,0.2,0.5
170585.84022528,-0.013449534177521684,0.03571578714176502,0.06624635404779099,0.72,7.56,1.0,0.11688589129305882,0.09,0.0,0.2,0.5
170585.840232832,-0.006500479412436196,0.049448064531340985,0.07576973249666588,0.72,7.56,1.0,-0.08148442030091729,0.095,0.0,0.2,0.5
170585.840239264,-0.008880388083976837,0.07011294528678336,0.09439157780779074,0.72,7.56,1.0,0.3762932218390276,0.1,0.0,0.2,0.5
170585.840245632,0.00642083976114585,0.08120578317134379,0.1184359211201258,0.72,7.56,1.0,0.34577471236303126,0.105,0.0,0.2,0.5
170585.840253504,0.0012066172282847753,0.09607561412650269,0.13348024895925356,0.72,7.56,1.0,0.2847376934110386,0.11,0.0,0.2,0.5
170585.840260256,-0.012128996566502112,0.08933475443576157,0.152792892577834,0.72,7.56,1.0,0.22370067445904596,0.115,0.0,0.2,0.5
170585.840267104,-0.015438637916157747,0.10255452730803266,0.1700127164145693,0.72,7.56,1.0,0.1626636555070533,0.12,0.0,0.2,0.5
170585.840273952,-0.013796807865201906,0.10435496708195895,0.18308701798268814,0.72,7.56,1.0,-0.06622516556291913,0.125,0.0,0.2,0.5
170585.881366144,-0.01397147781792285,0.12347578874697426,0.199252569331852,0.72,7.56,1.0,0.07110812707906433,0.13,0.0,0.2,0.5
170585.881377216,-0.00978199652797088,0.1358980560929526,0.2149796539831344,0.72,7.56,1.0,0.23895992919704412,0.135,0.0,0.2,0.5
170585.881384608,-0.002122694842683357,0.13304290093522894,0.22762078521977536,0.72,7.56,1.0,0.10162663655506066,0.14,0.0,0.2,0.5
170585.881390336,0.0053230457211658816,0.14973891706037978,0.24029614877824698,0.72,7.56,1.0,0.17792291024505147,0.145,0.0,0.2,0.5
170585.881396224,-0.006720749854640584,0.15948195429346632,0.25476384599610474,0.72,7.56,1.0,0.11688589129305882,0.15,0.0,0.2,0.5
170585.88140256,-0.00338698379175613,0.1581135025630442,0.2661934132858221,0.72,7.56,1.0,0.3305154576250331,0.155,0.0,0.2,0.5
170585.881409024,-0.008905261821332805,0.16169807985848525,0.27806409380905756,0.72,7.38,1.0,0.10162663655506066,0.16,0.0,0.2,0.5
170585.88141696,-0.011500422381929389,0.16046603928306208,0.29023149793407155,0.72,7.38,1.0,0.39155247657702574,0.165,0.0,0.2,0.5
170585.925797312,-0.01572014761919049,0.16316633324285038,0.30081790920276047,0.72,7.38,1.0,0.4831080050050147,0.17,0.0,0.2,0.5
170585.92581088,-0.01818965782556161,0.16638783946701474,0.31024634671806256,0.8999999999999999,7.199999999999999,1.0,0.43733024079102023,0.17500000000000002,0.0,0.2,0.5
170585.925818624,-0.02004645140404096,0.17476868039478127,0.3208172399187711,0.8999999999999999,7.199999999999999,1.0,0.46784875026701656,0.18,0.0,0.2,0.5
170585.925825536,-0.014888638815821104,0.182786930311419,0.32920774818604215,1.08,7.02,1.0,0.4068117313150239,0.185,0.0,0.2,0.5
170585.925832864,-0.020121655126187497,0.18112757018441483,0.33745084320135094,1.08,6.84,1.0,0.5746635334330037,0.19,0.0,0.2,0.5
170585.925839808,-0.0007754940565416178,0.196159737552797,0.34557913100336346,1.26,6.66,1.0,0.3610339671010294,0.195,0.0,0.2,0.5
170585.9258464,-0.012237148070120852,0.20250949586262304,0.353195115047926,1.44,6.3,1.0,0.803552354503033,0.2,0.0,0.2,0.5
170585.925853088,-0.023312846835204726,0.2053393702379831,0.35936991502858123,1.6199999999999999,6.12,1.0,0.6814783165989908,0.20500000000000002,0.0,0.2,0.5
170585.925859552,-0.03162932708006841,0.20097757001946362,0.36676162459640216,1.7999999999999998,5.76,1.0,0.7119968260749872,0.21,0.0,0.2,0.5
170585.966834272,-0.03311018226428561,0.1953977819430045,0.3732142606937993,1.98,5.58,1.0,0.7730338450270366,0.215,0.0,0.2,0.5
170585.966845312,-0.017807732501830282,0.19631923085469669,0.3782850600761123,2.16,5.22,1.0,0.895107882931022,0.22,0.0,0.2,0.5
170585.966851712,-0.030195727660431073,0.1899139308075711,0.38449548205784373,2.34,4.859999999999999,1.0,0.9561449018830146,0.225,0.0,0.2,0.5
170585.966857792,-0.022000549969089483,0.19641964089001043,0.38988351751284567,2.6999999999999997,4.5,1.0,0.8340708639790293,0.23,0.0,0.2,0.5
170585.966863328,-0.0017196530620481507,0.20711461876150222,0.39411645969419223,2.88,4.14,1.0,0.9408856471450164,0.23500000000000001,0.0,0.2,0.5
170585.96690176,-0.010460692842459235,0.21347063921795265,0.39948339808065475,3.2399999999999998,3.78,1.0,1.001922666097009,0.24,0.0,0.2,0.5
170585.966908096,-0.009942981682900164,0.21054463233111123,0.4047952382861906,3.42,3.42,1.0,0.9103671376690201,0.245,0.0,0.2,0.5
170585.966914784,0.004116127445365389,0.2094834794825373,0.40852805014360977,3.78,2.88,1.0,1.4139225440229595,0.25,0.0,0.2,0.5
170586.010698144,-0.014000933785092635,0.20736431440885392,0.4136870464084651,4.14,2.34,1.0,1.0477004303110036,0.255,0.0,0.2,0.5
170586.010718464,-0.003871107716330844,0.20225616910058333,0.4181950867242464,4.5,1.7999999999999998,1.0,1.185033722952987,0.26,0.0,0.2,0.5
170586.010728096,-0.0025748856290353853,0.20660443220281477,0.42118510656051444,4.859999999999999,1.26,1.0,0.9256263924070183,0.265,0.0,0.2,0.5
170586.010735616,-0.017001995547222055,0.20467071891947936,0.4249019270028935,5.3999999999999995,0.72,1.0,1.2002929776909852,0.27,0.0,0.2,0.5
170586.01074256,-0.003947529912006111,0.2091221405499848,0.42920171167479104,5.9399999999999995,0.0,1.0,0.9408856471450164,0.275,0.0,0.2,0.5
170586.010750176,-0.021792305179569153,0.20882013436947863,0.4327803571954285,6.12,0.0,1.0,-0.005188146610926481,0.28,0.0,0.2,0.5
170586.010757312,-0.0029121304880046326,0.20345399488448712,0.43573411341391655,6.12,0.0,1.0,-0.2035584582049026,0.28500000000000003,0.0,0.2,0.5
170586.010764096,-0.009839716763674306,0.20236576479320287,0.43995638447059915,6.3,0.0,1.0,0.05584887234106617,0.29,0.0,0.2,0.5
170586.010770112,-0.020815117247378195,0.20096136056565692,0.44350266957261475,6.3,0.0,1.0,-0.06622516556291913,0.295,0.0,0.2,0.5
170586.0516584,-0.014615416428797635,0.2040778219220005,0.44621309550950244,6.12,0.0,1.0,0.23895992919704412,0.3,0.0,0.2,0.5
170586.051672832,-0.010949736219787684,0.2044669358182709,0.4499291118941495,6.12,0.0,1.0,-0.09674367503891546,0.305,0.0,0.2,0.5
170586.051680736,-0.010877848248677673,0.2101728122677363,0.45314648339486746,5.76,0.0,1.0,0.3305154576250331,0.31,0.0,0.2,0.5
170586.051687552,-0.01415398107807412,0.21118853968305837,0.455214872738678,5.58,0.18,1.0,0.9866634113590109,0.315,0.0,0.2,0.5
170586.051693856,-0.0022368643826201477,0.20317909234504275,0.4583580444891763,5.3999999999999995,0.36,1.0,1.841181676686908,0.32,0.0,0.2,0.5
170586.051702752,-0.01572117465734417,0.21039227621080825,0.4611194562263799,5.58,0.18,1.0,0.8645893734550256,0.325,0.0,0.2,0.5
170586.051709568,-0.016198146449355886,0.20738928103683257,0.46296800391183335,5.76,0.0,1.0,0.5899227881710019,0.33,0.0,0.2,0.5
170586.051716064,0.004389026479010188,0.20354295516413304,0.4652604546565717,5.9399999999999995,0.0,1.0,-0.3256324961088879,0.335,0.0,0.2,0.5
170586.096233856,0.0018997768498572026,0.203117187126837,0.4674961523095646,5.9399999999999995,0.0,1.0,0.17792291024505147,0.34,0.0,0.2,0.5
170586.096253152,-0.020212208840073607,0.19521261135202428,0.46963165259731937,5.9399999999999995,0.0,1.0,-0.06622516556291913,0.34500000000000003,0.0,0.2,0.5
