time,cmd_DF,cmd_F,cmd_G,meas_DF,meas_F,meas_G,ang_wrist,ang_hand,p_flag_recv
0.04120612144470215,0.3,0.0,0.0,2.7694814905240035,-21.26,0.0,0.0,0.0,nan
0.04135942459106445,0.3,0.0,0.0,2.815259254737998,-21.26,0.0,0.0,0.0,nan
0.04141950607299805,0.3,0.0,0.0,2.8,-21.26,0.0,0.0,0.0,nan
0.0414731502532959,0.3,0.0,0.0,2.815259254737998,-21.26,0.0,0.0,0.0,nan
0.041519880294799805,0.3,0.0,0.0,2.815259254737998,-21.26,0.0,0.0,0.0,nan
0.041561126708984375,0.3,0.0,0.0,2.8,-21.26,0.0,0.0,0.0,nan
0.08268547058105469,0.3,0.0,0.0,2.7694814905240035,-21.26,0.0,0.0,0.0,nan
0.08284640312194824,0.3,0.0,0.0,2.8,-21.26,0.0,0.0,0.0,nan
0.08291745185852051,0.3,0.0,0.0,2.8,-21.26,0.0,0.0,0.0,nan
0.08299112319946289,0.3,0.0,0.0,2.815259254737998,-21.26,0.0,0.0,0.0,nan
0.08305025100708008,0.3,0.0,0.0,2.8,-21.26,0.0,0.0,0.0,nan
0.08332991600036621,0.3,0.0,0.0,2.7847407452620017,-21.26,0.0,0.0,0.0,nan
0.12446761131286621,0.3,0.0,0.0,2.8,-21.26,0.0,0.0,0.0,nan
0.12456893920898438,0.3,0.0,0.0,2.8,-21.26,0.0,0.0,0.0,nan
0.1246035099029541,0.3,0.0,0.0,2.7847407452620017,-21.26,0.0,0.0,0.0,nan
0.12463665008544922,0.3,0.0,0.0,2.7847407452620017,-21.26,0.0,0.0,0.0,nan
0.12484002113342285,0.3,0.0,0.0,2.7847407452620017,-21.26,0.0,0.0,0.0,nan
0.12488842010498047,0.3,0.0,0.0,2.7847407452620017,-21.26,0.0,0.0,0.0,nan
0.17632794380187988,0.3,0.0,0.0,2.7847407452620017,-21.26,0.0,0.0,0.0,nan
0.17648673057556152,0.3,0.0,0.0,2.8,-21.26,0.0,0.0,0.0,nan
0.17656493186950684,0.3,0.0,0.0,2.7694814905240035,-21.26,0.0,0.0,0.0,nan
0.17663335800170898,0.3,0.0,0.0,2.7847407452620017,-21.26,0.0,0.0,0.0,nan
0.17670059204101562,0.3,0.0,0.0,2.7847407452620017,-21.26,0.0,0.0,0.0,nan
0.17676019668579102,0.3,0.0,0.0,2.7847407452620017,-21.26,0.0,0.0,0.0,nan
0.2178025245666504,0.3,0.0,0.0,2.7847407452620017,-21.26,0.0,0.0,0.0,nan
