timestamp,segment_id,mode,command_pressure,meas_angle_wrist,meas_angle_grip,meas_pressure_1
1768125990.2518916,0,step,0.0,-1.1184508800506592,6.090656869302563e+32,-1.0219942331314087
1768125990.5037403,0,step,0.0,-1.1336171627044678,-7.882967618217019e-27,-1.2607438564300537
1768125990.7555604,0,step,0.0,0.9101772308349609,-2.2633970378857915e-38,0.6355240345001221
1768125991.007431,0,step,0.0,-1.080966591835022,-5.3287565332515996e-12,-0.8308836817741394
1768125991.390647,0,step,0.0,0.8482783436775208,8.335879185390322e+37,0.8799737095832825
1768125991.6425815,0,step,0.0,1.0658602714538574,6.096436351316849e-23,-0.9584296345710754
1768125991.8943796,0,step,0.0,-0.9325206279754639,-3.4466424949641805e-06,-1.0617551803588867
1768125992.146208,0,step,0.0,0.8354251384735107,5765224988672.0,-0.8981494307518005
1768125992.3979232,0,step,0.0,0.956413745880127,3.0014316507731564e-05,1.042741060256958
1768125992.649861,0,step,0.0,1.1259629726409912,4.439392045273135e+25,-1.147389531135559
1768125992.9017534,0,step,0.0,0.9266007542610168,1.2957365143238319e-30,1.018315076828003
1768125993.2743976,0,step,0.0,-0.8417909145355225,-3.11677048614456e-08,-0.9774765372276306
1768125993.5262125,0,step,0.0,1.2144758701324463,721669062656.0,-1.1095843315124512
1768125993.777792,0,step,0.3,1.1803412437438965,-4.218166083092001e-08,-0.8544141054153442
1768125994.0295188,0,step,0.3,-0.8187522888183594,-1.5424950660698376e-15,-1.1385915279388428
1768125994.2811074,0,step,0.3,-1.1516053676605225,4.8874741734308296e-30,-1.181033968925476
1768125994.532917,0,step,0.3,0.9796006679534912,2.9610609103558616e-11,-1.2727316617965698
1768125994.784474,0,step,0.3,-1.0164804458618164,7.486794387570606e-13,-1.214638113975525
1768125995.1872275,0,step,0.3,-1.21562659740448,-1.7736500166787072e+16,-1.157263159751892
1768125995.4389029,0,step,0.3,-0.9844591021537781,1.9270677377199917e+37,-1.2611829042434692
1768125995.6905637,0,step,0.3,0.975035548210144,1.0019783493225021e+20,0.9355905055999756
1768125995.942358,0,step,0.3,1.189427375793457,67728035545088.0,1.1451349258422852
1768125996.1942053,0,step,0.3,-1.1380759477615356,32058210.0,0.9406507015228271
1768125996.4460182,0,step,0.3,-1.1792633533477783,-1.3427494612141035e-35,-0.9051792025566101
1768125996.6975458,0,step,0.3,-1.1555421352386475,-6.528647405470714e+32,0.8630576729774475
1768125998.8626957,0,step,0.6,-0.9399999976158142,1.232595164407831e-32,0.0
1768126000.7363389,0,step,0.0,-1.0311279296875,-1851897472.0,-1.2404640913009644
1768126002.4686296,0,step,0.0,-1.0314158201217651,-7.87914035476475e-24,-1.2464590072631836
1768126002.6599166,0,step,0.0,1.000019907951355,2.086481396938397e+33,-0.9061887860298157
1768126002.9115994,0,step,0.0,0.9749737977981567,-2.0384168214291646e-20,-1.2750276327133179
1768126003.163369,0,step,0.0,-1.0031710863113403,-2.1321514684883127e+35,-1.0929086208343506
