meas_pres_DF,meas_pres_F,meas_pres_G,wrist_angle_deg,wrist_velocity,grip_angle_deg,grip_velocity,flag,force_N,time,target_force,action_DF,action_F,action_G,cmd_DF,cmd_F,cmd_G
-0.007790603432699735,-0.017733482336715286,0.0022673718793605525,-2.16,0.0,10.98,0.0,1.0,-0.11200292977691362,0.0,0.0,0.8505368,0.8006216,-1.791103,0.5551610469818115,0.5401864886283875,0.0
-0.003937884966126958,-0.02028173154566253,-0.00511671965952523,-2.16,0.0,10.98,0.0,1.0,-0.12726218451491178,0.005,0.0,0.8505368,0.8006216,-1.791103,0.5551610469818115,0.5401864886283875,0.0
-0.0050599474396732375,-0.017879837674864035,-0.0024270457167386034,-2.16,0.0,10.98,0.0,1.0,-0.41718802453687687,0.01,0.0,0.8505368,0.8006216,-1.791103,0.5551610469818115,0.5401864886283875,0.0
-0.009411573224030485,-0.016021680086018748,-0.017341166260678404,-2.16,0.0,10.98,0.0,1.0,0.10162663655506066,0.015,0.0,0.8505368,0.8006216,-1.791103,0.5551610469818115,0.5401864886283875,0.0
-0.008873827320794832,-0.01776115054124992,-0.01498545598581,-2.16,0.0,10.98,0.0,1.0,-0.14252143925290994,0.02,0.0,0.8694579,0.6260385,-1.7316037,0.5608373701572418,0.48781154751777644,0.0
-0.005472685233832719,-0.019267350175082458,-0.014349481150033013,-2.16,0.0,10.98,0.0,1.0,-0.17303994872890627,0.025,0.0,0.8694579,0.6260385,-1.7316037,0.5608373701572418,0.48781154751777644,0.0
-0.010512042984325263,-0.00503639320289468,-0.015362195506069567,-2.16,0.0,10.98,0.0,1.0,-0.26459547715689524,0.03,0.0,0.8694579,0.6260385,-1.7316037,0.5608373701572418,0.48781154751777644,0.0
-0.004741783148621066,-0.02048913170750561,-0.003383607006635576,-2.16,0.0,10.98,0.0,1.0,0.14740440076905514,0.035,0.0,0.8694579,0.6260385,-1.7316037,0.5608373701572418,0.48781154751777644,0.0
-0.006911290802891403,-0.01343991488158347,-0.007917909118408062,-2.16,0.0,10.98,0.0,1.0,-0.23407696768089892,0.04,0.0,0.86113465,0.6242197,-1.7462491,0.5583403944969177,0.4872659146785736,0.0
-0.0009356439648376015,-0.005321108558434165,-0.00935199702968412,-2.16,0.0,10.98,0.0,1.0,-0.18829920346690443,0.045,0.0,0.86113465,0.6242197,-1.7462491,0.5583403944969177,0.4872659146785736,0.0
-0.00032930250129648394,-0.009836706691293355,-0.008914384432836337,-2.16,0.0,10.98,0.0,1.0,-0.08148442030091729,0.05,0.0,0.86113465,0.6242197,-1.7462491,0.5583403944969177,0.4872659146785736,0.0
-0.006143609583128391,-0.002357522238869131,-0.0033043900821053806,-2.16,0.0,10.98,0.0,1.0,-0.09674367503891546,0.055,0.0,0.86113465,0.6242197,-1.7462491,0.5583403944969177,0.4872659146785736,0.0
-0.006992057552573329,-0.004026980312048525,-0.00755575938045648,-2.16,0.0,10.98,0.0,1.0,-0.3256324961088879,0.06,0.0,0.84835833,0.5719298,-1.7181548,0.5545074999332428,0.4715789437294006,0.0
0.006268608106196296,0.0012612264869109324,-0.0019927770739948548,-2.16,0.0,10.98,0.0,1.0,-0.035706656086922806,0.065,0.0,0.84835833,0.5719298,-1.7181548,0.5545074999332428,0.4715789437294006,0.0
