meas_pres_DF,meas_pres_F,meas_pres_G,wrist_angle_deg,grip_angle_deg,flag,force_N,t_recv,t_recv_rel,time,target_force,action_DF,action_F,action_G,cmd_DF,cmd_F,cmd_G
0.002340995254876275,-0.024192771035887923,0.0005372184066758118,7.92,-1.6199999999999999,1.0,-0.21066927091278131,6641.0546608,0.0,0.0,0.0,-0.22608518600463867,-0.6465192437171936,-0.828032374382019,0.23217445611953735,0.1060442328453064,0.051590289920568466
-0.0014372095365276678,-0.011581749911600572,0.0020079096026802386,7.92,-1.6199999999999999,1.0,0.00296029541919296,6641.05490352,0.0002427199997327989,0.005,0.0,-0.22608518600463867,-0.6465192437171936,-0.828032374382019,0.23217445611953735,0.1060442328453064,0.051590289920568466
-0.0015336608347788646,-0.014778930012701755,0.002850608654632454,7.92,-1.6199999999999999,1.0,-0.19541001617478315,6641.054913088,0.0002522879995012772,0.01,0.0,-0.22608518600463867,-0.6465192437171936,-0.828032374382019,0.23217445611953735,0.1060442328453064,0.051590289920568466
0.0015205859310944525,0.0037857726271455032,-0.006886451194131352,7.92,-1.6199999999999999,1.0,0.033478804895189285,6641.054919712,0.00025891199948091526,0.015,0.0,-0.22608518600463867,-0.6465192437171936,-0.828032374382019,0.23217445611953735,0.1060442328453064,0.051590289920568466
0.005494744557013825,-0.008806064665389288,0.0011742047030929104,7.92,-1.6199999999999999,1.0,-0.25644703512683087,6641.054926848,0.00026604799950291635,0.02,0.0,-0.276549756526947,-0.3392711281776428,-0.7474294304847717,0.21703508496284485,0.1982186734676361,0.07577117532491684
-0.003706174835190686,-0.028671162770556227,0.0005560093380469495,7.92,-1.6199999999999999,1.0,0.06399731437118561,6641.054934624,0.00027382400003261864,0.025,0.0,-0.276549756526947,-0.3392711281776428,-0.7474294304847717,0.21703508496284485,0.1982186734676361,0.07577117532491684
-0.005144486355164489,-0.041522633936949015,0.005552733753455707,7.92,-1.6199999999999999,1.0,-0.2869655446028272,6641.054942368,0.00028156799999123905,0.03,0.0,-0.276549756526947,-0.3392711281776428,-0.7474294304847717,0.21703508496284485,0.1982186734676361,0.07577117532491684
-0.008627660551596524,-0.012204862029381081,0.00486953880794323,7.92,-1.6199999999999999,1.0,0.14029358806117642,6641.05494912,0.0002883199995267205,0.035,0.0,-0.276549756526947,-0.3392711281776428,-0.7474294304847717,0.21703508496284485,0.1982186734676361,0.07577117532491684
-0.009442310043478837,0.00034758329969822245,-0.005784041960569876,7.92,-1.6199999999999999,1.0,-0.10385448774679418,6641.099420416,0.04475961599928269,0.04,0.0,-0.25911709666252136,-0.444100946187973,-1.0,0.2222648710012436,0.16676971316337585,0.0
-0.006628840412906951,-0.019897149485540812,-0.009650325779546703,7.92,-1.6199999999999999,1.0,-0.10385448774679418,6641.099439104,0.044778303999919444,0.045,0.0,-0.25911709666252136,-0.444100946187973,-1.0,0.2222648710012436,0.16676971316337585,0.0
