meas_pres_DF,meas_pres_F,meas_pres_G,wrist_angle_deg,grip_angle_deg,flag,force_N,t_recv,t_recv_rel,time,target_force,action_DF,action_F,action_G,cmd_DF,cmd_F,cmd_G
-0.012425479287453219,-0.027141686821531844,-0.008921544423306876,7.56,-2.88,1.0,-0.027558214056803365,12280.937650048,0.0,0.0,0.0,0.7199368476867676,-0.8872709274291992,-1.0,0.5159810781478882,0.033818721771240234,0.0
-0.008741474500936212,-0.009442403165910463,-0.011180638615390806,7.56,-2.88,1.0,0.1097750785851801,12280.937887296,0.00023724800121271983,0.005,0.0,0.7199368476867676,-0.8872709274291992,-1.0,0.5159810781478882,0.033818721771240234,0.0
-0.01943211499869142,-0.017057099081303845,-0.00878817677492909,7.56,-2.88,1.0,0.17081209753717275,12280.937897536,0.0002474880002409918,0.01,0.0,0.7199368476867676,-0.8872709274291992,-1.0,0.5159810781478882,0.033818721771240234,0.0
-0.021810790197778544,-0.012158219796912218,-0.008788585623307853,7.56,-2.88,1.0,0.07925656910918377,12280.937905088,0.00025504000041109975,0.015,0.0,0.7199368476867676,-0.8872709274291992,-1.0,0.5159810781478882,0.033818721771240234,0.0
-0.015766092064023022,-0.009988802813213326,-0.008071037042050687,7.56,-2.88,1.0,0.2623676259651617,12280.937912576,0.00026252800125803333,0.02,0.0,0.5752180218696594,-0.4177604913711548,-1.0,0.4725654125213623,0.17467185854911804,0.0
-0.006160945555114297,-0.015781573719608227,-0.009634172961980865,7.56,-2.88,1.0,-0.10385448774679418,12280.937921696,0.00027164800121681765,0.025,0.0,0.5752180218696594,-0.4177604913711548,-1.0,0.4725654125213623,0.17467185854911804,0.0
-0.00799258328095599,-0.010406625603391034,-0.006172220220220058,7.56,-2.88,1.0,0.1097750785851801,12280.937929696,0.0002796480002871249,0.03,0.0,0.5752180218696594,-0.4177604913711548,-1.0,0.4725654125213623,0.17467185854911804,0.0
-0.007702044011200334,-0.014935619867180006,-0.0037618831505047377,7.56,-2.88,1.0,-0.08859523300879601,12280.93793712,0.0002870719999918947,0.035,0.0,0.5752180218696594,-0.4177604913711548,-1.0,0.4725654125213623,0.17467185854911804,0.0
-0.016039177438189292,-0.02408451003828199,-0.0010370315109705615,7.56,-2.88,1.0,0.06399731437118561,12280.98121136,0.04356131200074742,0.04,0.0,0.27783912420272827,-0.1476796418428421,-1.0,0.38335177302360535,0.2556961178779602,0.0
-0.004651438758672029,-0.02239922413248682,-0.003785230130876411,7.56,-2.88,1.0,-0.14963225196078866,12280.981230176,0.04358012800003053,0.045,0.0,0.27783912420272827,-0.1476796418428421,-1.0,0.38335177302360535,0.2556961178779602,0.0
-0.0032601162619450797,-0.028838441210755586,-0.0013275602763012828,7.56,-2.88,1.0,0.20133060701316907,12280.981238144,0.043588096001258236,0.05,0.0,0.27783912420272827,-0.1476796418428421,-1.0,0.38335177302360535,0.2556961178779602,0.0
-0.010552408118229436,-0.0071507125299757135,-0.006327997877453299,7.56,-2.88,1.0,0.018219550157191122,12280.981245632,0.04359558400028618,0.055,0.0,0.27783912420272827,-0.1476796418428421,-1.0,0.38335177302360535,0.2556961178779602,0.0
-0.012771769362125028,-0.02273934881532921,-0.005789864881251333,7.56,-2.88,1.0,0.018219550157191122,12280.981253472,0.04360342400104855,0.06,0.0,0.5167090892791748,0.4483664631843567,-0.48031631112098694,0.4550127387046814,0.43450993299484253,0.1559051275253296
-0.016612819855465522,0.0003237461540053693,-0.005833670769340906,7.56,-2.88,1.0,0.04873805963318745,12280.981261376,0.0436113280011341,0.065,0.0,0.5167090892791748,0.4483664631843567,-0.48031631112098694,0.4550127387046814,0.43450993299484253,0.1559051275253296
-0.011488665070094984,-0.011823720122443173,0.0011831065680546243,7.56,-2.88,1.0,-0.07333597827079785,12280.981269536,0.04361948800033133,0.07,0.0,0.5167090892791748,0.4483664631843567,-0.48031631112098694,0.4550127387046814,0.43450993299484253,0.1559051275253296
-0.0037680895315669923,-0.006926494830743981,0.0019198247162707095,7.56,-2.88,1.0,-0.04281746879480153,12280.981276832,0.04362678400138975,0.075,0.0,0.5167090892791748,0.4483664631843567,-0.48031631112098694,0.4550127387046814,0.43450993299484253,0.1559051275253296
0.003327297396263041,-0.0017632815709006794,0.0016302629414142328,7.56,-2.88,1.0,0.14029358806117642,12280.98128464,0.043634592000671546,0.08,0.0,0.6861708760261536,1.0,-1.0,0.5058512687683105,0.6000000238418579,0.0
0.0005398581424460909,0.0071613544933308215,-0.005054716179466466,7.38,-2.6999999999999997,1.0,0.12503433332317826,12281.02491136,0.08726131200091913,0.085,0.0,0.6861708760261536,1.0,-1.0,0.5058512687683105,0.6000000238418579,0.0
-0.005382494610274309,0.02375335290302029,-0.002465111311523684,7.199999999999999,-2.52,1.0,-0.10385448774679418,12281.024936544,0.0872864960001607,0.09,0.0,0.6861708760261536,1.0,-1.0,0.5058512687683105,0.6000000238418579,0.0
-0.011219708134598898,0.05131154194446759,-0.0027541332832276134,6.84,-2.34,1.0,0.09451582384718193,12281.024946304,0.08729625600062718,0.095,0.0,0.6861708760261536,1.0,-1.0,0.5058512687683105,0.6000000238418579,0.0
-0.007416936348455292,0.0733916716782792,-0.005950719526285204,6.3,-1.7999999999999998,1.0,0.17081209753717275,12281.02495536,0.08730531200126279,0.1,0.0,0.4422309398651123,-0.4109523296356201,-0.8261151909828186,0.4326693117618561,0.17671430110931396,0.0521654449403286
-0.004435566180417264,0.08561108100144553,-0.005556671346311421,5.58,-1.44,1.0,-0.04281746879480153,12281.024963104,0.08731305600122141,0.105,0.0,0.4422309398651123,-0.4109523296356201,-0.8261151909828186,0.4326693117618561,0.17671430110931396,0.0521654449403286
0.007010359494416707,0.10515990726204875,-0.008070854822632817,4.68,-0.54,1.0,0.15555284279917458,12281.02497184,0.08732179199978418,0.11,0.0,0.4422309398651123,-0.4109523296356201,-0.8261151909828186,0.4326693117618561,0.17671430110931396,0.0521654449403286
0.03303574556342902,0.12591146882639823,-0.005350457617639045,3.42,0.18,1.0,-0.027558214056803365,12281.024979616,0.08732956800122338,0.115,0.0,0.4422309398651123,-0.4109523296356201,-0.8261151909828186,0.4326693117618561,0.17671430110931396,0.0521654449403286
0.05116189202527079,0.14758639848228203,-0.00017636741064682256,1.98,1.26,1.0,0.00296029541919296,12281.024987008,0.08733696000126656,0.12,0.0,0.16836820542812347,0.807266116142273,-0.2545408308506012,0.35051047801971436,0.5421798825263977,0.22363777458667755
0.05892114601813241,0.16263150901440523,0.002001541871928624,0.54,2.52,1.0,-0.11911374248479234,12281.024995552,0.08734550400004082,0.125,0.0,0.16836820542812347,0.807266116142273,-0.2545408308506012,0.35051047801971436,0.5421798825263977,0.22363777458667755
0.08328700242420112,0.18223236009789237,-0.000262638868332451,1.26,2.88,1.0,0.2623676259651617,12281.067188288,0.1295382400003291,0.13,0.0,0.16836820542812347,0.807266116142273,-0.2545408308506012,0.35051047801971436,0.5421798825263977,0.22363777458667755
0.09645034172881474,0.20515303027001372,-0.009931170329484625,1.7999999999999998,3.78,1.0,-0.04281746879480153,12281.0672064,0.12955635199978133,0.135,0.0,0.16836820542812347,0.807266116142273,-0.2545408308506012,0.35051047801971436,0.5421798825263977,0.22363777458667755
0.11809186980110487,0.21931624948771472,-0.0031526076239015545,1.98,4.859999999999999,1.0,-0.05807672353279969,12281.067214784,0.12956473600024765,0.14,0.0,0.14237883687019348,0.5356482267379761,-0.47296157479286194,0.3427136540412903,0.46069449186325073,0.1581115424633026
0.13124371429095932,0.22956054977955692,0.014643018381317437,1.98,6.12,1.0,-0.10385448774679418,12281.067221856,0.12957180800003698,0.145,0.0,0.14237883687019348,0.5356482267379761,-0.47296157479286194,0.3427136540412903,0.46069449186325073,0.1581115424633026
0.15356502283109913,0.23409269716763037,0.02143812770351843,1.26,7.56,1.0,0.2318491164891654,12281.067229056,0.12957900800029165,0.15,0.0,0.14237883687019348,0.5356482267379761,-0.47296157479286194,0.3427136540412903,0.46069449186325073,0.1581115424633026
0.16966186734316333,0.2523238265884608,0.0329823354718475,0.8999999999999999,9.18,1.0,-0.14963225196078866,12281.067236576,0.12958652800080017,0.155,0.0,0.14237883687019348,0.5356482267379761,-0.47296157479286194,0.3427136540412903,0.46069449186325073,0.1581115424633026
0.18438456480200413,0.2757439618579935,0.03153481875822921,1.08,10.799999999999999,1.0,-0.05807672353279969,12281.067244128,0.12959408000097028,0.16,0.0,0.5066638588905334,0.43828681111335754,0.07783136516809464,0.45199915766716003,0.431486040353775,0.3233494162559509
0.20183751290318838,0.28635821468592276,0.015914800100011933,1.08,12.42,1.0,-0.2411877803888327,12281.067252992,0.1296029439999984,0.165,0.0,0.5066638588905334,0.43828681111335754,0.07783136516809464,0.45199915766716003,0.431486040353775,0.3233494162559509
0.2156300134165799,0.29373857470858317,0.010903071938302986,1.08,14.219999999999999,1.0,-0.027558214056803365,12281.110392224,0.17274217600061093,0.17,0.0,0.5066638588905334,0.43828681111335754,0.07783136516809464,0.45199915766716003,0.431486040353775,0.3233494162559509
0.22266183598177286,0.30145887651694964,0.012741261962002037,0.8999999999999999,16.2,1.0,-0.1343729972227905,12281.110406208,0.17275616000006266,0.175,0.0,0.5066638588905334,0.43828681111335754,0.07783136516809464,0.45199915766716003,0.431486040353775,0.3233494162559509
0.22602502218874837,0.2989541658987265,0.02334252321403576,1.08,18.0,1.0,0.12503433332317826,12281.110412032,0.17276198400031717,0.18,0.0,1.0,-0.029560498893260956,-0.09806817024946213,0.6000000238418579,0.291131854057312,0.2705795466899872
0.22818642686381588,0.306746281949143,0.01411880692146172,1.26,19.98,1.0,0.04873805963318745,12281.110416672,0.17276662400036003,0.185,0.0,1.0,-0.029560498893260956,-0.09806817024946213,0.6000000238418579,0.291131854057312,0.2705795466899872
0.2303150142800855,0.3182987639035119,0.015120107273693052,1.08,22.14,1.0,0.24710837122716356,12281.110421824,0.17277177600044524,0.19,0.0,1.0,-0.029560498893260956,-0.09806817024946213,0.6000000238418579,0.291131854057312,0.2705795466899872
0.23861722096120822,0.32015870953917064,0.022595330693803418,1.08,24.119999999999997,1.0,-0.19541001617478315,12281.110426592,0.17277654400095344,0.195,0.0,1.0,-0.029560498893260956,-0.09806817024946213,0.6000000238418579,0.291131854057312,0.2705795466899872
