strike_idx,target_time,peak_time,timing_err_ms,peak_force,success,model_key,model,seed,midi,trial,force_threshold
45,16.065168080390986,16.155057115344995,89.8890349540089,16.1014740440077,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
46,16.37977970273001,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
47,16.599508454839803,16.67441598396814,74.90752912833543,3.86355174413284,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
48,16.899138571353156,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
49,17.23871937006829,17.388534428324967,149.81505825667796,2.5970336008789374,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
50,17.31862073447185,17.348583746123186,29.963011651336302,12.36295663319804,True,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
51,17.798028920893216,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
52,18.337363130617256,18.477190518323486,139.82738770623016,51.7776116214484,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
53,18.881691175616513,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
54,19.176327456854644,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
55,19.53588359667067,19.600803455248563,64.91985857789473,56.21805475020598,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
56,19.835513713184024,19.705673996028235,-129.83971715578946,1.0711081270790643,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
57,20.060236300569038,20.125156159146933,64.91985857789473,15.170659504989755,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
58,20.2949465585045,20.16011300607349,-134.83355243100803,3.848292489394842,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
59,20.934157473732988,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
60,21.573368388961477,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
61,21.793097141071268,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
62,22.432308056299757,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
63,22.512209420703318,22.562147773455543,49.9383527522248,27.05761894589066,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
64,23.31122306473893,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
65,23.53095181684872,23.655797698729284,124.84588188056378,19.0312509537034,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
66,23.850557274462965,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
67,24.17016273207721,24.31498395505866,144.82122298145228,5.35895870845666,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
68,24.25006409648077,24.275033272856884,24.969176376114177,8.27347636341442,True,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
69,24.729472282902137,24.84932432950748,119.85204660534166,2.8717001861629043,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
70,25.06905308161727,25.198892798773056,129.8397171557859,12.240882595294051,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
71,25.288781833727064,25.37867086868107,89.88903495400535,9.738364818262298,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
72,25.8281160434511,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
73,26.127746159964452,26.262579712395464,134.83355243101158,4.428144169438772,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
74,26.46732695867959,26.56720366418404,99.8767055044496,1.9256263924070185,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
75,26.786932416293833,26.657092699138044,-129.83971715578946,2.673329874568928,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
76,27.006661168403625,27.066587191706297,59.926023302672604,32.520432142094165,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
77,27.531013872301994,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
