strike_idx,target_time,peak_time,timing_err_ms,peak_force,success,model_key,model,seed,midi,trial,force_threshold
0,0.4194483065511093,0.4793694932012678,59.921186650158496,22.61717581713308,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
1,0.7390279686852879,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
2,0.9587389864025356,1.0036798763901544,44.9408899876188,37.55598620563373,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
3,1.617872039554279,1.6628129295418976,44.94088998761869,7.449476607562463,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
4,2.1571627194057053,2.242051067160096,84.8883477543909,1.0863673818170625,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
5,2.49671611042327,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
6,2.6964533992571313,2.766361450348983,69.90805109185149,3.665181432538809,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
7,3.01603306139131,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
8,3.3555864524088745,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
9,3.4754288257091916,3.4754288257091916,0.0,1.132145146031057,True,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
10,4.194483065511093,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
11,4.434167812111728,4.504075863203579,69.90805109185149,1.9256263924070185,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
12,4.973458491963154,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
13,5.273064425213946,5.308018450759872,34.95402554592619,19.29065828424937,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
14,5.612617816231511,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
15,5.912223749482303,5.957164639469922,44.94088998761914,30.9182103946043,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
16,6.151908496082937,6.206836250512249,54.92775442931208,22.723990600299068,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
17,6.691199175934363,6.706179472596903,14.980296662539416,20.770805993835246,True,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
18,6.990805109185156,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
19,7.350332229086106,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
20,7.689885620103671,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
21,7.929570366704305,7.979504688912771,49.93432220846561,10.39451277199622,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
22,8.209202571071712,8.249150028838484,39.94745776677178,12.530808435316018,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
23,8.548755962089276,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
24,8.648624606506207,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
25,9.113013803044936,9.142974396370015,29.960593325078833,16.879696035645605,True,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
26,9.407626304074881,9.467547490725039,59.921186650157665,14.300881984923862,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
27,9.667284779558901,9.69724537288398,29.960593325078833,39.0513931699576,True,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
28,9.98686444169308,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
29,10.306444103827259,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
30,10.86570851256207,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
31,11.190281606917095,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
32,11.404999192413497,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
33,11.944289872264923,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
34,12.243895805515715,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
35,12.58344919653328,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
36,12.883055129784072,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
37,13.642056827352746,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
38,13.921689031720152,13.961636489486924,39.94745776677178,31.45228431043429,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
39,14.30118988050449,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
40,14.62076954263867,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
41,14.860454289239302,14.900401747006075,39.94745776677355,16.879696035645605,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
