timestamp,segment_id,mode,cmd_DF,cmd_F,cmd_G,meas_pres_DF,meas_pres_F,meas_pres_G,meas_ang_wrist,meas_ang_hand,p_flag
1768127964.5995233,0,step,0.6,0.0,0.0,-0.00477761040138271,-0.0013400644033797432,-0.009589927097059655,-0.54,-0.0,1.0
1768127964.5995374,0,step,0.6,0.0,0.0,-0.001558990495635953,-0.011060048342218331,-0.012172328529750483,-0.54,-0.0,1.0
1768127964.5995479,0,step,0.6,0.0,0.0,-0.005580444380456114,-0.025165898181210778,-0.010722861781970157,-0.54,-0.0,1.0
1768127964.5995538,0,step,0.6,0.0,0.0,-0.01047169745864898,-0.018314991995612068,-0.009607425290067447,-0.54,-0.0,1.0
1768127964.59956,0,step,0.6,0.0,0.0,-0.009548947605296048,-0.02051627779652506,-0.017283261286937805,-0.54,-0.0,1.0
1768127964.599567,0,step,0.6,0.0,0.0,-0.008150668179952192,-0.026264902505508236,-0.014722717535346586,-0.54,-0.0,1.0
1768127964.5995727,0,step,0.6,0.0,0.0,-0.0020175083270257865,-0.01764526544829881,-0.009355617126483917,-0.54,-0.0,1.0
1768127964.5995784,0,step,0.6,0.0,0.0,0.0046254798874416254,-0.005350112171377974,-0.00961886207050965,-0.54,-0.0,1.0
1768127964.5995843,0,step,0.6,0.0,0.0,0.009492651892557982,0.002635408183435472,-0.008315034803246722,-0.54,-0.0,1.0
1768127964.649825,0,step,0.6,0.0,0.0,0.0009001899742447683,-0.007129976502975996,-0.0006335263483265727,-0.54,-0.0,1.0
1768127964.6498387,0,step,0.6,0.0,0.0,-0.01028397669972903,-0.018148174377688345,-0.0024542148022755573,-0.54,-0.0,1.0
1768127964.6498456,0,step,0.6,0.0,0.0,-0.007772695542209777,-0.0150937546279458,0.000986737054316736,-0.54,-0.0,1.0
1768127964.6498513,0,step,0.6,0.0,0.0,-0.009549739552629317,-0.01726120281637593,-0.008105549143715439,-0.54,-0.0,1.0
1768127964.6498563,0,step,0.6,0.0,0.0,0.006115856810944807,-0.008010774957246522,-0.001867012400906752,-0.54,-0.0,1.0
1768127964.6498618,0,step,0.6,0.0,0.0,0.0017565342917417205,-0.019910299261225884,-0.004569997572745592,-0.54,-0.0,1.0
1768127964.6498682,0,step,0.6,0.0,0.0,0.013787565301373782,-0.022372080875976617,-0.005210244818776297,-0.54,-0.0,1.0
1768127964.6499064,0,step,0.6,0.0,0.0,0.04162973157683577,-0.006536665260256282,-0.00811251111624522,-0.72,-0.0,1.0
1768127964.6499138,0,step,0.6,0.0,0.0,0.046573350966055534,-0.0106908660247623,-0.0077806502520998185,-0.72,-0.0,1.0
1768127964.6499197,0,step,0.6,0.0,0.0,0.05592046235736629,-0.01050372771308344,-0.009376967060896737,-0.8999999999999999,-0.0,1.0
1768127964.6900403,0,step,0.6,0.0,0.0,0.07968342380629519,0.0031594907582647444,-0.008417291261968923,-1.08,-0.0,1.0
1768127964.6900687,0,step,0.6,0.0,0.0,0.0935336796249739,-0.011829660579398094,-0.007797719078419511,-1.44,-0.0,1.0
1768127964.6900747,0,step,0.6,0.0,0.0,0.10754064217498016,-0.013665835398548164,-0.016962423518488867,-1.98,-0.0,1.0
1768127964.6900795,0,step,0.6,0.0,0.0,0.12546276751460383,-0.014100926631721722,-0.010980484255239531,-2.34,-0.0,1.0
1768127964.6900845,0,step,0.6,0.0,0.0,0.14345872484259736,-0.011732134183660385,-0.008271064877856935,-2.6999999999999997,-0.0,1.0
1768127964.6900892,0,step,0.6,0.0,0.0,0.15119291794859158,-0.010109577478751608,-0.007756240227963578,-3.2399999999999998,-0.0,1.0
1768127964.6900954,0,step,0.6,0.0,0.0,0.15997788450156394,-0.019378966814602126,-0.01030816225229489,-3.96,-0.0,1.0
1768127964.690101,0,step,0.6,0.0,0.0,0.18548837967102072,-0.012258783843777305,-0.007447632666649202,-4.859999999999999,-0.0,1.0
1768127964.6901064,0,step,0.6,0.0,0.0,0.2004208847326874,-0.00879565310874219,-0.00761777016106904,-5.58,-0.0,1.0
1768127964.6901166,0,step,0.6,0.0,0.0,0.21374039423428873,-0.010062062184679912,-0.010795374074363125,-6.66,-0.0,1.0
1768127964.7303326,0,step,0.6,0.0,0.0,0.2269809503694494,-0.008326886851170596,-0.012446002222587502,-7.739999999999999,-0.0,1.0
1768127964.7303414,0,step,0.6,0.0,0.0,0.24265854221551703,0.004220906452746393,-0.015868940286945358,-8.64,-0.0,1.0
1768127964.7303472,0,step,0.6,0.0,0.0,0.2538405244282239,-0.01010473179475195,-0.010419013662315941,-9.9,-0.0,1.0
1768127964.7303524,0,step,0.6,0.0,0.0,0.2634422998929039,-0.008394136815152355,-0.004023018504703711,-11.16,-0.0,1.0
1768127964.730371,0,step,0.6,0.0,0.0,0.2619456671593863,-0.026164275851271023,-0.009244808846771204,-12.42,-0.0,1.0
1768127964.7303765,0,step,0.6,0.0,0.0,0.2744108378460035,-0.03349261891157812,-0.007969952660830691,-13.68,-0.0,1.0
1768127964.7303884,0,step,0.6,0.0,0.0,0.3036393749998795,-0.012502001060943443,-0.004616812419727331,-15.479999999999999,-0.0,1.0
1768127964.7303934,0,step,0.6,0.0,0.0,0.3063724670841844,-0.01767021556492862,-0.005369442964774978,-16.919999999999998,-0.0,1.0
1768127964.7303984,0,step,0.6,0.0,0.0,0.3131428819926278,-0.022183620546166814,-0.010391877856896605,-18.36,-0.0,1.0
1768127964.7304041,0,step,0.6,0.0,0.0,0.3300976621732543,-0.0052700143320908435,-0.008445757016681417,-19.62,-0.0,1.0
1768127964.7706008,0,step,0.6,0.0,0.0,0.34214525221315334,-0.004372306050796037,-0.007005251626351185,-21.06,-0.0,1.0
1768127964.770609,0,step,0.6,0.0,0.0,0.35065144763780615,-0.004917410348448667,-0.015033562047629326,-22.5,-0.0,1.0
1768127964.7706153,0,step,0.6,0.0,0.0,0.3547988872503996,-0.011780730725677929,-0.007975162758543208,-24.3,-0.0,1.0
1768127964.770653,0,step,0.6,0.0,0.0,0.3613785105396542,-0.021627165199313257,-0.006467321959346058,-26.099999999999998,-0.0,1.0
1768127964.7706594,0,step,0.6,0.0,0.0,0.3605828750739755,-0.03608047407515358,-0.005616369671405493,-27.54,-0.0,1.0
1768127964.770664,0,step,0.6,0.0,0.0,0.36438713965937897,-0.04367897043876125,-0.005875238744271779,-28.98,-0.0,1.0
1768127964.7706692,0,step,0.6,0.0,0.0,0.37373356169817507,-0.03826652750227718,-0.00495622047301262,-30.419999999999998,-0.0,1.0
1768127964.7706745,0,step,0.6,0.0,0.0,0.38088645980922087,-0.030000593105681497,-0.007848886065690688,-32.22,-0.0,1.0
1768127964.7706797,0,step,0.6,0.0,0.0,0.3993671094089771,-0.01042350342845565,-0.011965240713451819,-33.48,-0.0,1.0
1768127964.770691,0,step,0.6,0.0,0.0,0.4074131901533247,-0.01031727104284371,-0.004844888130023536,-34.92,-0.0,1.0
1768127964.8210125,0,step,0.6,0.0,0.0,0.4230551312434985,-0.0007654155645568096,-0.007293578182943452,-36.54,-0.0,1.0
1768127964.8210225,0,step,0.6,0.0,0.0,0.4314670781642353,0.003271025515289953,-0.004885068682939685,-37.8,-0.18,1.0
1768127964.8210495,0,step,0.6,0.0,0.0,0.4321841273897526,-0.004958600102703753,-0.009725502432242922,-39.42,-0.18,1.0
1768127964.8210547,0,step,0.6,0.0,0.0,0.4254361880233258,-0.013596779862660294,-0.006151222132366381,-40.5,-0.36,1.0
1768127964.8210611,0,step,0.6,0.0,0.0,0.42325543167269697,-0.021704160509872696,-0.0008146514917612392,-41.58,-0.36,1.0
1768127964.8210657,0,step,0.6,0.0,0.0,0.4259500379864864,-0.02185559166890024,-0.0029052110968650307,-42.66,-0.72,1.0
1768127964.821078,0,step,0.6,0.0,0.0,0.4325832986362734,-0.013957379503468901,-0.006044451692996077,-43.739999999999995,-0.8999999999999999,1.0
1768127964.8210828,0,step,0.6,0.0,0.0,0.45194517634539677,-0.0008103939331118512,-0.001297721301599189,-45.18,-1.26,1.0
1768127964.8210883,0,step,0.6,0.0,0.0,0.45474027451309057,-0.013661115487835829,-0.007559230136262087,-46.08,-1.6199999999999999,1.0
1768127964.8210936,0,step,0.6,0.0,0.0,0.45943884223878007,-0.013396842624521758,-0.008521298718568066,-46.8,-2.16,1.0
1768127964.8612838,0,step,0.0,0.0,0.3,0.4558668131620522,-0.01328491747698608,-0.008574056457183626,-47.699999999999996,-2.52,1.0
1768127964.8612926,0,step,0.0,0.0,0.3,0.45543626528094133,-0.026096039495967557,-0.012555156603123133,-48.42,-3.06,1.0
1768127964.8612976,0,step,0.0,0.0,0.3,0.4610962477914652,-0.011131223563670729,-0.009849688486728068,-49.14,-3.78,1.0
1768127964.861314,0,step,0.0,0.0,0.3,0.46308495535088195,-0.017086226725892953,-0.012474292753353476,-49.68,-4.32,1.0
1768127964.861319,0,step,0.0,0.0,0.3,0.46707606853505845,-0.027419451485237625,-0.0033691272166144776,-50.4,-5.22,1.0
1768127964.8613238,0,step,0.0,0.0,0.3,0.47461967015220397,-0.028837708601595843,-0.004689947698831651,-50.94,-5.9399999999999995,1.0
1768127964.86133,0,step,0.0,0.0,0.3,0.4699226604017662,-0.03927064568751437,-0.002405501913817562,-51.3,-6.66,1.0
1768127964.8613358,0,step,0.0,0.0,0.3,0.47710398833416295,-0.020513168010022034,0.008506108958899876,-51.839999999999996,-7.739999999999999,1.0
1768127964.8613417,0,step,0.0,0.0,0.3,0.47489460434851016,-0.020486486552768933,0.004948985319600246,-52.019999999999996,-8.64,1.0
1768127964.8613515,0,step,0.0,0.0,0.3,0.4899715328410033,-0.002705171223127245,-0.0007482045035928603,-52.379999999999995,-9.54,1.0
1768127964.9015665,0,step,0.0,0.0,0.3,0.4987438044011359,0.010615954903967642,-0.0034205312104712508,-52.559999999999995,-10.44,1.0
1768127964.9015746,0,step,0.0,0.0,0.3,0.4922479728910947,-0.007580038761127183,-0.0027999270848413985,-52.919999999999995,-11.879999999999999,1.0
1768127964.9015799,0,step,0.0,0.0,0.3,0.4950641994359792,-0.009859523235246755,-0.002930390569739729,-53.1,-12.959999999999999,1.0
1768127964.9015849,0,step,0.0,0.0,0.3,0.4910279723043605,-0.01916795349860977,-0.004708544197720309,-53.1,-14.04,1.0
1768127964.9015894,0,step,0.0,0.0,0.3,0.4902278596542518,-0.018604059163633495,-0.0020021020146942722,-53.28,-14.94,1.0
1768127964.9015949,0,step,0.0,0.0,0.3,0.4977039738923471,-0.0076989078786570695,-0.006060682162328916,-53.28,-16.02,1.0
1768127964.9016113,0,step,0.0,0.0,0.3,0.4933899219162965,-0.019610057286207978,-0.005751074811248829,-53.28,-17.099999999999998,1.0
1768127964.9016166,0,step,0.0,0.0,0.3,0.5037919624199978,0.0013664054270925903,-0.00829762861348302,-53.28,-18.18,1.0
1768127964.901624,0,step,0.0,0.0,0.3,0.5086943531468464,0.005050005895144894,-0.006945521705438322,-53.28,-19.62,1.0
1768127964.9016294,0,step,0.0,0.0,0.3,0.5060434570213964,0.01628629006840274,0.0017986959999796326,-53.28,-20.7,1.0
1768127964.9419076,0,step,0.0,0.0,0.3,0.49894470366148885,0.004470994318157711,0.019609502325770935,-53.28,-21.779999999999998,1.0
1768127964.9419346,0,step,0.0,0.0,0.3,0.49032922031034715,0.004677336270241983,0.0456119468548561,-53.1,-22.68,1.0
1768127964.9419403,0,step,0.0,0.0,0.3,0.4665110235105011,-0.0148942593062618,0.06552519645763462,-53.1,-23.58,1.0
1768127964.9419458,0,step,0.0,0.0,0.3,0.4458977358785997,-0.012330027071794222,0.07637987899985217,-52.919999999999995,-24.84,1.0
1768127964.9419515,0,step,0.0,0.0,0.3,0.43165412937643083,-6.798861269077557e-05,0.09623228576900383,-52.559999999999995,-25.919999999999998,1.0
1768127964.941956,0,step,0.0,0.0,0.3,0.39838456842597114,-0.013637587389999439,0.11381461297398784,-52.199999999999996,-27.0,1.0
1768127964.9419613,0,step,0.0,0.0,0.3,0.37038633120169717,-0.016875386063537133,0.12638820359017824,-52.019999999999996,-27.9,1.0
1768127964.9419737,0,step,0.0,0.0,0.3,0.3411551538747778,-0.009907737149105337,0.13989554162920245,-51.66,-28.799999999999997,1.0
1768127964.9419842,0,step,0.0,0.0,0.3,0.3203246383927256,-0.012068280760471922,0.14876272628447185,-51.3,-29.52,1.0
1768127964.9419894,0,step,0.0,0.0,0.3,0.2961977698397563,-0.012849082871809647,0.15798087372186456,-50.94,-29.88,1.0
1768127964.9923215,0,step,0.0,0.0,0.3,0.2776716532181467,-0.014129418835413373,0.16677921307026,-50.58,-30.24,1.0
1768127964.9923315,0,step,0.0,0.0,0.3,0.255668772353937,-0.019553800421325464,0.17812675697601527,-50.22,-30.419999999999998,1.0
1768127964.9923525,0,step,0.0,0.0,0.3,0.22490414865861363,-0.01984767572341793,0.1895015564629958,-49.68,-30.24,1.0
1768127964.9923582,0,step,0.0,0.0,0.3,0.20948417552023088,-0.018828819129020707,0.19622059923577803,-49.32,-30.06,1.0
1768127964.9923723,0,step,0.0,0.0,0.3,0.18936903855098017,-0.019867835033736583,0.20556281432971127,-48.96,-29.7,1.0
1768127964.9923773,0,step,0.0,0.0,0.3,0.17552083493379922,-0.02453044404114347,0.2115998697542843,-48.6,-29.16,1.0
1768127964.992383,0,step,0.0,0.0,0.3,0.15815653951197098,-0.014551365007411842,0.21732264588890554,-48.239999999999995,-28.439999999999998,1.0
1768127964.992388,0,step,0.0,0.0,0.3,0.13972975899950685,-0.00656119901423744,0.22252915532511328,-47.879999999999995,-27.72,1.0
1768127964.9923933,0,step,0.0,0.0,0.3,0.13256284119715483,-0.017764506661418048,0.23157741459350428,-47.339999999999996,-26.64,1.0
1768127964.9923992,0,step,0.0,0.0,0.3,0.11190851140695848,-0.010062975687919347,0.23688563463398873,-46.8,-25.38,1.0
1768127965.0325544,0,step,0.0,0.0,0.3,0.10126026424163434,-0.0014884408196224209,0.240438470144751,-46.26,-24.48,1.0
1768127965.0325785,0,step,0.0,0.0,0.3,0.09639980760954418,-0.00898734897411489,0.24543254591949248,-45.9,-23.4,1.0
1768127965.0325842,0,step,0.0,0.0,0.3,0.08260257471198168,-0.005465688226631216,0.2509164483812886,-45.18,-22.32,1.0
1768127965.0325892,0,step,0.0,0.0,0.3,0.07096977566129842,0.0061024497124241885,0.2547861993824313,-44.46,-21.06,1.0
1768127965.032607,0,step,0.0,0.0,0.3,0.0648317846281142,-6.81400482837389e-05,0.2575754987080655,-43.92,-19.8,1.0
1768127965.0326123,0,step,0.0,0.0,0.3,0.052416964455741136,-0.01587852043121566,0.26329899499015136,-43.199999999999996,-18.9,1.0
1768127965.0326178,0,step,0.0,0.0,0.3,0.05234655671553602,-0.0033136963141302466,0.267284759740523,-41.94,-17.28,1.0
1768127965.0326288,0,step,0.0,0.0,0.3,0.04648196790183588,-0.007253993009515135,0.270111683244675,-41.04,-16.38,1.0
1768127965.0326343,0,step,0.0,0.0,0.3,0.045063125942970274,-0.01507112419523784,0.2733614898609158,-40.14,-15.299999999999999,1.0
1768127965.03264,0,step,0.0,0.0,0.3,0.03502637028364104,-0.006307033415941782,0.2763914280862047,-39.059999999999995,-14.399999999999999,1.0
1768127965.072959,0,step,0.0,0.0,0.3,0.03950065154462281,-0.022582663448016047,0.27859458708464147,-37.98,-13.5,1.0
1768127965.07297,0,step,0.0,0.0,0.3,0.018314115293912088,-0.018263065126293807,0.28019042151082196,-36.9,-12.78,1.0
1768127965.0729766,0,step,0.0,0.0,0.3,0.015456698106318839,-0.009144963788600843,0.2826327547310816,-35.64,-11.879999999999999,1.0
1768127965.0730004,0,step,0.0,0.0,0.3,0.02232416460807088,-0.008978697267018247,0.286054270720704,-33.839999999999996,-10.799999999999999,1.0
1768127965.0730057,0,step,0.0,0.0,0.3,0.008531247478062571,-0.008714795617965536,0.28792713762076344,-32.4,-10.08,1.0
1768127965.0730114,0,step,0.0,0.0,0.3,0.006402419831818044,-0.01770116236542569,0.28965425470549855,-30.959999999999997,-9.54,1.0
1768127965.0730174,0,step,0.0,0.0,0.3,0.010837149914908514,-0.022481055696897106,0.29117364322146677,-29.52,-9.0,1.0
1768127965.0730221,0,step,0.0,0.0,0.3,0.012281735275028934,-0.016084603350946754,0.2925154723690281,-27.9,-8.459999999999999,1.0
1768127965.0730276,0,step,0.0,0.0,0.3,0.0028298842313985036,-0.02080589986807761,0.294378534996647,-25.919999999999998,-7.92,1.0
1768127965.0730329,0,step,0.0,0.0,0.3,0.007093981425762955,-0.005341394691403136,0.2953745802312043,-24.119999999999997,-7.38,1.0
1768127965.123251,0,step,0.0,0.0,0.3,-0.003348850490041823,-0.015191435778024174,0.2971242965515206,-21.96,-7.02,1.0
1768127965.1232595,0,step,0.0,0.0,0.3,-0.006657737921906958,-0.01997419885630301,0.2978579112964422,-19.98,-6.66,1.0
1768127965.1232815,0,step,0.0,0.0,0.3,0.0026184429756339524,-0.01733007949924777,0.29863679139797616,-18.18,-6.4799999999999995,1.0
1768127965.1232865,0,step,0.0,0.0,0.3,-0.0038884685459452195,-0.022171572714374747,0.3008112261683873,-15.66,-6.12,1.0
1768127965.1232917,0,step,0.0,0.0,0.3,-3.0260285872891733e-05,-0.028070842621138705,0.30142514947784804,-13.68,-5.9399999999999995,1.0
1768127965.1232967,0,step,0.0,0.0,0.3,0.0012964682882693117,-0.02844612212407215,0.30248305488559696,-11.52,-5.76,1.0
1768127965.1233013,0,step,0.0,0.0,0.3,-0.0037202610535853626,-0.0389238411595769,0.30355385184533806,-9.54,-5.76,1.0
1768127965.123313,0,step,0.0,0.0,0.3,0.0010888409978096199,-0.006965024387598031,0.3044331852186945,-6.3,-5.3999999999999995,1.0
1768127965.1233182,0,step,0.0,0.0,0.3,-0.0036383008649847155,-0.007760358140523628,0.30523315534952844,-4.14,-5.22,1.0
1768127965.123324,0,step,0.0,0.0,0.3,-0.0044267274005866325,-0.013091069709479389,0.30609634394841956,-2.16,-4.859999999999999,1.0
1768127965.1635215,0,step,0.0,0.0,0.3,-0.0075452210576448,-0.007432638134585778,0.30604326306057233,-0.18,-4.5,1.0
1768127965.1635313,0,step,0.0,0.0,0.3,-0.013523940914136673,-0.016404678975472122,0.30663433317127176,1.6199999999999999,-3.78,1.0
1768127965.163538,0,step,0.0,0.0,0.3,-0.00915058761820063,-0.012581359181511185,0.3065192655310108,3.2399999999999998,-2.88,1.0
1768127965.163555,0,step,0.0,0.0,0.3,-0.005206193135562895,-0.006226562648787186,0.30588605915081646,4.68,-1.6199999999999999,1.0
1768127965.16356,0,step,0.0,0.0,0.3,-0.0018000460221532788,-0.009105483547542922,0.3051438992572413,6.3,0.54,1.0
1768127965.1635652,0,step,0.0,0.0,0.3,-0.011434522112612703,-0.026280248842612215,0.30520519231000043,8.28,-0.0,1.0
1768127965.1635702,0,step,0.0,0.0,0.3,-0.006865988139182005,-0.025879951810088085,0.3048782461240373,9.18,-0.36,1.0
1768127965.163575,0,step,0.0,0.0,0.3,-0.00939729091663106,-0.025054151242061055,0.3040928193450321,9.18,0.36,1.0
1768127965.1635804,0,step,0.0,0.0,0.3,-0.01121659084963272,-0.018916595605481746,0.30429507806280814,9.36,0.36,1.0
1768127965.2038865,0,step,0.0,0.0,0.3,-0.022243336394479212,-0.01926275389480827,0.30385913310630247,9.36,0.36,1.0
1768127965.2038958,0,step,0.0,0.0,0.3,-0.015653518983331564,-0.028088168467457632,0.30380215866358384,9.18,0.18,1.0
1768127965.2039013,0,step,0.0,0.0,0.3,-0.015412594167623693,-0.005771705706964412,0.30343391444873286,8.82,0.18,1.0
1768127965.2039063,0,step,0.0,0.0,0.3,-0.020575514444248634,-0.01187186585950981,0.30344587694747704,8.28,-0.0,1.0
1768127965.2039115,0,step,0.0,0.0,0.3,-0.009130375063965232,-0.008499012971739026,0.3035774331607372,7.199999999999999,0.18,1.0
1768127965.2039163,0,step,0.0,0.0,0.3,-0.0071837913851409375,-0.014531647675811223,0.30411944110645234,6.3,-0.0,1.0
1768127965.2039216,0,step,0.0,0.0,0.3,-0.008436851157845591,-0.002993146044860674,0.3041695698694086,5.22,-0.0,1.0
1768127965.2039268,0,step,0.0,0.0,0.3,-0.01013758867364896,-0.019618175659478265,0.30445200920276944,4.14,-0.0,1.0
1768127965.2039404,0,step,0.0,0.0,0.3,-0.0032291421945972805,-0.015040063955789922,0.30478706434575886,3.06,-0.0,1.0
1768127965.2039464,0,step,0.0,0.0,0.3,-0.0005068888567307332,-0.021524614925185762,0.30541546780849277,1.26,-0.0,1.0
1768127965.2441597,0,step,0.0,0.0,0.3,0.0083583898756294,0.0017377399742405483,0.30549062573802993,0.0,-0.0,1.0
1768127965.2441823,0,step,0.0,0.0,0.3,-0.003438408344126092,-0.0025699528813944075,0.30588272075403367,-1.26,-0.0,1.0
1768127965.244188,0,step,0.0,0.0,0.3,-0.0035626148755662514,-0.006146840534165969,0.3063761417796137,-2.34,-0.18,1.0
1768127965.2441936,0,step,0.0,0.0,0.3,-0.00919573646925016,0.00030056953782655406,0.3064083014749631,-3.42,-0.36,1.0
1768127965.2441983,0,step,0.0,0.0,0.3,-0.009552132017827833,-0.01866854006230792,0.3064500853708792,-4.32,-0.54,1.0
1768127965.2442033,0,step,0.0,0.0,0.3,0.0016872336891862896,-0.018945559319326066,0.3064008792965265,-5.58,-0.8999999999999999,1.0
1768127965.244209,0,step,0.0,0.0,0.3,-0.006334564703802956,-0.01968794207853441,0.3060347367460039,-6.66,-1.08,1.0
1768127965.2442143,0,step,0.0,0.0,0.3,-0.015813860366534763,-0.006238071658226381,0.30562164350283005,-7.56,-1.44,1.0
1768127965.2442284,0,step,0.0,0.0,0.3,-0.009664745767439906,-0.013791301119109794,0.30596359254806393,-8.459999999999999,-1.6199999999999999,1.0
1768127965.244234,0,step,0.0,0.0,0.3,-0.010293841532836131,0.002575708306818686,0.305665635052686,-9.36,-2.16,1.0
1768127965.294492,0,step,0.0,0.0,0.3,-0.013675221815936067,-0.012984928239199802,0.30542845808955316,-9.9,-2.52,1.0
1768127965.2945123,0,step,0.0,0.0,0.3,-0.011352476765238984,-0.008750522749261585,0.3054628011166477,-10.62,-3.06,1.0
1768127965.2945178,0,step,0.0,0.0,0.3,-0.008755920203433252,-0.006601338676495468,0.30511298487223515,-11.16,-3.42,1.0
1768127965.2945225,0,step,0.0,0.0,0.3,-0.015560925457597057,-0.01364507009880564,0.30502088335316446,-11.7,-4.14,1.0
1768127965.2945275,0,step,0.0,0.0,0.3,-0.014280191090309285,-0.00033337326046553047,0.3048553693587763,-12.059999999999999,-4.68,1.0
1768127965.2945328,0,step,0.0,0.0,0.3,-0.0145017088832481,-0.007233041666023895,0.3050928173763792,-12.42,-5.22,1.0
