meas_pres_DF,meas_pres_F,meas_pres_G,wrist_angle_deg,wrist_velocity,grip_angle_deg,grip_velocity,flag,force_N,time,target_force,action_DF,action_F,action_G,cmd_DF,cmd_F,cmd_G
-0.014573649390444516,-0.010022687451758668,0.021644615825197635,0.72,0.0,9.9,0.0,1.0,0.05584887234106617,0.0,0.0,0.698087,-0.5781535,-0.5347532,0.5094260931015014,0.1265539526939392,0.13957403898239135
-0.01031804249969003,-0.01646556965567846,0.02773603593710792,0.72,0.0,9.9,0.0,1.0,-0.05096591082492097,0.005,0.0,0.698087,-0.5781535,-0.5347532,0.5094260931015014,0.1265539526939392,0.13957403898239135
-0.005573476314671473,-0.0004577831422692696,0.030868387536640427,0.72,0.0,9.9,0.0,1.0,-0.020447401348924643,0.01,0.0,0.698087,-0.5781535,-0.5347532,0.5094260931015014,0.1265539526939392,0.13957403898239135
-0.013641709718494035,-0.0033906353623988886,0.020827259992870554,0.72,0.0,9.9,0.0,1.0,0.0863673818170625,0.015,0.0,0.698087,-0.5781535,-0.5347532,0.5094260931015014,0.1265539526939392,0.13957403898239135
-0.0076967057971809,-0.00822617929098201,0.010142514117123363,0.72,0.0,9.9,0.0,1.0,0.22370067445904596,0.02,0.0,0.8418,-0.9027339,-0.6244394,0.5525399923324584,0.029179823398590085,0.11266817450523375
-0.006481187329478245,-0.021749599553347418,-0.005732910781360845,0.72,0.0,9.9,0.0,1.0,-0.08148442030091729,0.025,0.0,0.8418,-0.9027339,-0.6244394,0.5525399923324584,0.029179823398590085,0.11266817450523375
0.0019146068659102468,-0.016302163341962075,-0.01438300603683251,0.72,0.0,9.9,0.0,1.0,-0.12726218451491178,0.03,0.0,0.8418,-0.9027339,-0.6244394,0.5525399923324584,0.029179823398590085,0.11266817450523375
-0.013696289932683164,-0.022811301740673043,-0.008717344257852833,0.72,0.0,9.9,0.0,1.0,0.0863673818170625,0.035,0.0,0.8418,-0.9027339,-0.6244394,0.5525399923324584,0.029179823398590085,0.11266817450523375
-0.004975313083745389,-0.012493845091813128,-0.01489532383442864,0.72,0.0,9.9,0.0,1.0,-0.09674367503891546,0.04,0.0,0.98433506,-1.1516032,-0.6474317,0.5953005194664002,0.0,0.10577049851417542
-0.010905371707265538,-0.006429223047751427,-0.008672778074772987,0.72,0.0,9.9,0.0,1.0,0.010071108127071682,0.045,0.0,0.98433506,-1.1516032,-0.6474317,0.5953005194664002,0.0,0.10577049851417542
-0.006277104647544208,0.007702563052472544,0.0014691234026829676,0.72,0.0,9.9,0.0,1.0,-0.3561510055848842,0.05,0.0,0.98433506,-1.1516032,-0.6474317,0.5953005194664002,0.0,0.10577049851417542
-0.008791308039701594,-0.0049796682689366035,-0.01137963598279748,0.72,0.0,9.9,0.0,1.0,0.10162663655506066,0.055,0.0,0.98433506,-1.1516032,-0.6474317,0.5953005194664002,0.0,0.10577049851417542
-0.012887893174966754,-0.006831721897227302,-0.012690695090405324,0.72,0.0,9.9,0.0,1.0,0.22370067445904596,0.06,0.0,1.1368005,-1.3489498,-0.62294704,0.6,0.0,0.11311588883399963
-0.0022603907823028225,-0.01426888027574064,-0.002655454289348007,0.72,0.0,9.9,0.0,1.0,0.10162663655506066,0.065,0.0,1.1368005,-1.3489498,-0.62294704,0.6,0.0,0.11311588883399963
-0.00343181501390808,-0.017871912204753627,-0.009286660442978902,0.72,0.0,9.9,0.0,1.0,-0.23407696768089892,0.07,0.0,1.1368005,-1.3489498,-0.62294704,0.6,0.0,0.11311588883399963
0.0036419512055030677,-0.021346412388680746,0.0007129287345486975,0.72,0.0,9.9,0.0,1.0,0.19318216498304963,0.075,0.0,1.1368005,-1.3489498,-0.62294704,0.6,0.0,0.11311588883399963
-0.001707871853134356,-0.030392483589128216,-0.004716136804983981,0.72,0.0,9.9,0.0,1.0,0.05584887234106617,0.08,0.0,1.2948503,-1.4948685,-0.5904109,0.6,0.0,0.12287673354148865
