timestamp,exp_mode,target_arg,cmd_DF,cmd_F,cmd_G,meas_pres_DF,meas_pres_F,meas_pres_G,meas_ang_wrist,meas_ang_hand,p_flag
0.0,3,F,0.5,0.0,0.0,0.5001911805298601,-0.007205028324349912,-0.0007918055026183187,-47.879999999999995,-0.18,1.0
0.0,3,F,0.5,0.0,0.0,0.5027896238895848,-0.0077055684900209954,-0.0031250159960419938,-47.879999999999995,-0.18,1.0
0.0,3,F,0.5,0.0,0.0,0.4959569669113725,-0.018558304886572004,-0.0023970830240053922,-47.879999999999995,-0.18,1.0
0.0,3,F,0.5,0.0,0.0,0.4988216854277902,-0.019562226306858454,-0.0010194126248835188,-47.879999999999995,-0.18,1.0
0.0,3,F,0.5,0.0,0.0,0.500857626977849,-0.02459436941042089,-0.003323254940395521,-47.879999999999995,-0.18,1.0
0.0,3,F,0.5,0.0,0.0,0.5031662849035456,-0.015893562797674326,-0.010479875618397022,-47.879999999999995,-0.18,1.0
0.0,3,F,0.5,0.0,0.0,0.5038048699985584,-0.020422069508797675,-0.01055536618448367,-47.879999999999995,-0.18,1.0
0.0,3,F,0.5,0.0,0.0,0.5052357707827723,-0.011741452748716616,-0.0019996856925431476,-47.879999999999995,-0.18,1.0
0.0,3,F,0.5,0.0,0.0,0.5065199246150996,-0.0039353804056734805,-0.0025874485086687707,-47.879999999999995,-0.18,1.0
0.0,3,F,0.5,0.0,0.0,0.5048181895968623,-0.016533479203249445,-0.00425459492937046,-47.879999999999995,-0.18,1.0
0.040279388427734375,3,F,0.6,0.00040279388427734376,0.0,0.5110764726862765,-0.003942217743888398,-0.0029664961924024437,-47.879999999999995,-0.18,1.0
0.040279388427734375,3,F,0.6,0.00040279388427734376,0.0,0.505427191482083,-0.012649603628249774,-0.003414939783354725,-47.879999999999995,-0.18,1.0
0.040279388427734375,3,F,0.6,0.00040279388427734376,0.0,0.5009521707115978,-0.005479464370148933,-0.0018199811701565746,-47.879999999999995,-0.18,1.0
0.040279388427734375,3,F,0.6,0.00040279388427734376,0.0,0.49744122742861757,-0.008814896056271114,-0.0046306592126820634,-47.879999999999995,-0.18,1.0
0.040279388427734375,3,F,0.6,0.00040279388427734376,0.0,0.49770911085282804,-0.011247565824263887,-0.009266418101072472,-47.879999999999995,-0.18,1.0
0.040279388427734375,3,F,0.6,0.00040279388427734376,0.0,0.50063516672292,-0.004949165835184589,-0.008207983759584194,-47.879999999999995,-0.18,1.0
0.040279388427734375,3,F,0.6,0.00040279388427734376,0.0,0.4948779014044404,-0.008129655894774542,-0.01001827497748358,-47.879999999999995,-0.18,1.0
0.040279388427734375,3,F,0.6,0.00040279388427734376,0.0,0.49873269458751157,-0.011865410400993204,-0.004921223953991087,-47.879999999999995,-0.18,1.0
0.040279388427734375,3,F,0.6,0.00040279388427734376,0.0,0.5073880489501174,-0.0006895124516125663,-0.01066895526876457,-47.879999999999995,-0.18,1.0
0.0806279182434082,3,F,0.6,0.0008062791824340821,0.0,0.5116385988520832,0.010246490088236554,-0.008290119606586651,-47.879999999999995,-0.18,1.0
0.0806279182434082,3,F,0.6,0.0008062791824340821,0.0,0.5056722804220529,-0.00025835866612109316,-0.0037656825549081097,-47.879999999999995,-0.18,1.0
0.0806279182434082,3,F,0.6,0.0008062791824340821,0.0,0.4984642595055974,-0.015781827154229284,-0.007978601425627178,-47.879999999999995,-0.18,1.0
0.0806279182434082,3,F,0.6,0.0008062791824340821,0.0,0.5038403390829628,-0.016662956778094713,-0.005416036621817873,-47.879999999999995,-0.18,1.0
0.0806279182434082,3,F,0.6,0.0008062791824340821,0.0,0.5035542032490922,-0.013692819510560806,-0.006910331032308863,-47.879999999999995,-0.18,1.0
0.0806279182434082,3,F,0.6,0.0008062791824340821,0.0,0.5018951478663264,-0.01333372536239999,-0.00506000958255228,-47.879999999999995,-0.18,1.0
0.0806279182434082,3,F,0.6,0.0008062791824340821,0.0,0.5029723647657757,-0.01168490307348669,-0.0037502542262586166,-47.879999999999995,-0.18,1.0
0.0806279182434082,3,F,0.6,0.0008062791824340821,0.0,0.4976703603316576,-0.015429925858081778,0.00853193310067769,-47.879999999999995,-0.18,1.0
0.0806279182434082,3,F,0.6,0.0008062791824340821,0.0,0.4992273007728538,-0.016992017496738544,0.009550437098125539,-47.879999999999995,-0.18,1.0
0.0806279182434082,3,F,0.6,0.0008062791824340821,0.0,0.5023030855970534,-0.015231315092098349,0.006011118381538981,-47.879999999999995,-0.18,1.0
0.12097501754760742,3,F,0.6,0.0012097501754760743,0.0,0.5068916820733741,-0.0067855515156929344,0.001027368234283738,-47.879999999999995,-0.18,1.0
0.12097501754760742,3,F,0.6,0.0012097501754760743,0.0,0.5073867053623997,-0.006716646882695106,-0.004622441634569682,-47.879999999999995,-0.18,1.0
0.12097501754760742,3,F,0.6,0.0012097501754760743,0.0,0.5033182877151237,-0.01955084930297851,-0.003995584182278076,-47.879999999999995,-0.18,1.0
0.12097501754760742,3,F,0.6,0.0012097501754760743,0.0,0.5052071359039493,-0.012553745484422655,-0.008078673543253792,-47.879999999999995,-0.18,1.0
0.12097501754760742,3,F,0.6,0.0012097501754760743,0.0,0.5043273191003834,-0.01259224607729752,-0.006295102150340805,-47.879999999999995,-0.18,1.0
0.12097501754760742,3,F,0.6,0.0012097501754760743,0.0,0.5057723726963635,-0.004031642489871996,-0.0036735016857911314,-47.879999999999995,-0.18,1.0
