meas_pres_DF,meas_pres_F,meas_pres_G,angle_deg,velocity,flag,force_N,time,exp_mode,cmd_DF,cmd_F,cmd_G
-0.0010098962186397616,0.00017014635273651207,-0.013689027995040558,-0.72,9.0,1.0,0.29999694814903677,0.0,1,0.0,0.0,0.0
-0.008616656427678619,-0.00789519184516179,-0.015040089132093742,-0.72,9.0,1.0,0.6357005523849963,0.005,1,0.0,0.0,0.0
-0.005246787437316849,-0.006282606419886745,-0.00921014047557494,-0.72,9.0,1.0,0.42207098605302207,0.01,1,0.0,0.0,0.0
-0.008738851117364794,-0.013527576282579659,-0.009446252662679474,-0.72,9.0,1.0,0.5899227881710019,0.015,1,0.0,0.0,0.0
-0.007156668398081108,-0.006257804750980102,-0.009755958675366147,-0.72,9.0,1.0,0.4983672597430129,0.02,1,0.0,0.0,0.0
-0.006245211043339986,-0.007392134306824565,-0.009373126050119161,-0.72,9.0,1.0,0.5441450239570074,0.025,1,0.0,0.0,0.0
-0.005566030439116381,-0.010259383300347412,-0.013401745700739761,-0.72,9.0,1.0,0.4525894955290184,0.03,1,0.0,0.0,0.0
-0.00519025117293728,-0.007990843710124236,-0.007595870676674587,-0.72,9.0,1.0,0.4525894955290184,0.035,1,0.0,0.0,0.0
-0.003127692123137179,-0.010796300176380324,0.004274433935324587,-0.72,9.0,1.0,0.2542191839350423,0.04,1,0.0,0.0,0.0
0.0048877929931231065,-0.008053911957430975,-0.0005525869206124891,-0.72,9.0,1.0,0.31525620288703493,0.045,1,0.0,0.0,0.0
0.004600691694287438,-0.01218560287104761,-0.009738261603503733,-0.72,9.0,1.0,0.43733024079102023,0.05,1,0.0,0.0,0.0
-0.006636952249998821,-0.0060360904428468,-0.0029800823380347293,-0.72,9.0,1.0,0.513626514481011,0.055,1,0.0,0.0,0.0
-0.009371936178433023,-0.006561052476914685,-0.00837721629682097,-0.72,9.0,1.0,0.26947843867304044,0.06,1,0.0,0.0,0.0
-0.009349330242063462,-0.010529175068963238,-0.00704651497041279,-0.72,9.0,1.0,0.3610339671010294,0.065,1,0.0,0.0,0.0
-0.01177848402788105,-0.0072302343834019095,-0.01028373263366833,-0.72,9.0,1.0,0.4831080050050147,0.07,1,0.0,0.0,0.0
-0.004818807845110677,0.00033895831054811065,-0.010551419141676186,-0.72,9.0,1.0,0.5746635334330037,0.075,1,0.0,0.0,0.0
-0.011175114740116648,-0.014863170370664678,-0.011955028119480744,-0.72,9.0,1.0,0.5441450239570074,0.08,1,0.0,0.0,0.0
-0.011175639643825949,-0.013650954317536454,-0.018078593712266472,-0.72,9.0,1.0,0.42207098605302207,0.085,1,0.0,0.0,0.0
-0.011772498713758314,-0.011938859333300677,-0.008612299405727929,-0.72,9.0,1.0,0.43733024079102023,0.09,1,0.0,0.0,0.0
-0.006365652769454572,-0.009020706412630539,-0.001201296479549039,-0.72,9.0,1.0,0.3762932218390276,0.095,1,0.0,0.0,0.0
-0.018430342920431202,-0.008542588725608442,0.005468413173563952,-0.72,9.0,1.0,0.4831080050050147,0.1,1,0.0,0.0,0.0
-0.01103916941960806,-0.008967720684463824,-0.004083932183519849,-0.72,9.0,1.0,0.513626514481011,0.105,1,0.0,0.0,0.0
-0.01575161929707321,-0.014498342260897086,-0.002348368934499121,-0.72,9.0,1.0,0.19318216498304963,0.11,1,0.0,0.0,0.0
-0.01717201759181205,-0.02398733366276086,0.0019384736048566704,-0.72,9.0,1.0,0.6357005523849963,0.115,1,0.0,0.0,0.0
-0.008916260223683737,-0.014565736921499553,0.0015409712644660724,-0.72,9.0,1.0,0.3762932218390276,0.12,1,0.0,0.0,0.0
-0.009971445927932362,-0.016428584505839186,3.49573434274366e-05,-0.72,9.0,1.0,0.42207098605302207,0.125,1,0.0,0.0,0.0
-0.00481734809063397,-0.010963001491642078,-0.006841427879888472,-0.72,9.0,1.0,0.513626514481011,0.13,1,0.0,0.0,0.0
-0.003999643406616957,-0.014730772356805831,-0.012134684958457478,-0.72,9.0,1.0,0.7577745902890385,0.135,1,0.0,0.0,0.0
0.0018418756296785732,-0.009390721786793088,-0.003649572311738215,-0.72,9.0,1.0,0.3762932218390276,0.14,1,0.0,0.0,0.0
-0.0008156156740311664,-0.004706370860848341,-0.005420533024581409,-0.72,9.0,1.0,0.5746635334330037,0.145,1,0.0,0.0,0.0
-0.004904326834110088,0.0042117339686595125,0.0015862028574338883,-0.72,9.0,1.0,0.43733024079102023,0.15,1,0.0,0.0,0.0
