time,pattern,bpm,obs_wrist,cmd_DF,real_P_DF,target_val
6.367999958456494e-06,single_4,120.0,0.006283185307179586,-0.10414681,0.26875597,19.999999351177237
0.295260159999998,single_4,120.0,0.006283185307179586,0.78190523,0.5345716,0.0
0.4151151679998293,single_4,120.0,0.14765485471872025,-0.8888493,0.033345208,0.06274882103687143
0.435179455999787,single_4,120.0,0.14765485471872025,-1.0,0.0,0.6937593989114161
0.4552528000003804,single_4,120.0,0.1947787445225672,-0.7232169,0.08303493,4.030469003831825
0.47532435199991596,single_4,120.0,0.2513274122871834,-0.7532229,0.07403314,12.287987881204776
0.4954022399997484,single_4,120.0,0.289026524130261,0.5052611,0.45157838,19.664613587614067
0.5154766400000881,single_4,120.0,0.28588493147667116,0.50701725,0.4521052,16.512392589041564
0.5355516480003644,single_4,120.0,0.28588493147667116,0.5167459,0.4550238,7.27611112330147
0.5556305600002815,single_4,120.0,0.24818581963359365,0.53635246,0.46090573,1.681901348963055
0.575704128000325,single_4,120.0,0.21676989309769573,0.6407344,0.49222034,0.20409703765055295
0.5957840319997558,single_4,120.0,0.18535396656179778,0.21995872,0.36598766,0.012985364604664835
0.6158684479996737,single_4,120.0,0.18535396656179778,0.08681604,0.32604483,0.0
0.6359606400001212,single_4,120.0,0.1947787445225672,-0.14430772,0.2567077,0.0
0.6560613760002525,single_4,120.0,0.29216811678385074,0.02942802,0.3088284,0.0
0.6761366079999789,single_4,120.0,0.4429645641561608,0.39389062,0.4181672,0.0
0.6962145919997056,single_4,120.0,0.5717698629533423,0.5863364,0.47590092,0.0
0.7162962239999615,single_4,120.0,0.5717698629533423,0.70062864,0.51018864,0.0
0.7363793280001119,single_4,120.0,0.6660176425610361,0.6477475,0.49432427,0.0
0.7564584319998175,single_4,120.0,0.6942919764433443,0.8149267,0.544478,0.0
0.7765350400004536,single_4,120.0,0.6880087911361648,0.8214667,0.54644,0.0
0.796626624000055,single_4,120.0,0.6880087911361648,0.64501107,0.49350333,0.0
0.816695327999696,single_4,120.0,0.6880087911361648,0.19453162,0.35835952,0.0
0.8367829119997623,single_4,120.0,0.7068583470577035,-0.6545022,0.10364934,0.0
0.8568607360002716,single_4,120.0,0.7414158662471911,-1.0,0.0,0.0
0.8769367360000615,single_4,120.0,0.7791149780902688,-1.0,0.0,0.0
0.8970119360001263,single_4,120.0,0.7791149780902688,-1.0,0.0,0.0
0.9170936000000438,single_4,120.0,0.7916813487046279,-1.0,0.0,0.08183545818039749
0.9371857599999203,single_4,120.0,0.7571238295151401,-0.3300566,0.20098303,0.8514872744303946
0.9572744320003039,single_4,120.0,0.6346017160251383,-1.0,0.0,4.642963950954165
0.9773487040001783,single_4,120.0,0.4680973053848792,-0.46904415,0.15928677,13.266834909689509
0.9974299840005187,single_4,120.0,0.4680973053848792,0.29127643,0.38738295,19.89459899813395
1.0175054720002663,single_4,120.0,0.26389378290154264,0.5739966,0.472199,15.651692116357424
1.037587775999782,single_4,120.0,0.10367255756846316,0.44362426,0.4330873,6.458903392269897
1.0576646720001008,single_4,120.0,0.012566370614359171,0.77166665,0.53150004,1.3987245085822988
1.0777498560000822,single_4,120.0,0.012566370614359171,0.7277695,0.5183309,0.15876981773530266
1.0977862400004597,single_4,120.0,0.10053096491487337,0.06608477,0.31982544,0.00952355845063828
1.1178670079998483,single_4,120.0,0.3455751918948773,-0.08949554,0.27315134,0.0
1.1379462080003577,single_4,120.0,0.5183627878423158,-0.17397445,0.24780767,0.0
1.1580273600002329,single_4,120.0,0.637743308678728,-0.09624233,0.2711273,0.0
1.1781027200004246,single_4,120.0,0.637743308678728,0.33201104,0.3996033,0.0
1.1981866879996232,single_4,120.0,0.7037167544041136,0.54955196,0.4648656,0.0
1.2182645760003652,single_4,120.0,0.7414158662471911,0.68150413,0.5044513,0.0
1.2383445440000287,single_4,120.0,0.7979645340118074,0.6241758,0.48725274,0.0
1.2584197440000935,single_4,120.0,0.7979645340118074,0.8277384,0.54832155,0.0
1.2784933439997985,single_4,120.0,0.8136724972797564,0.8083247,0.54249746,0.0
1.2985827840002457,single_4,120.0,0.7665486074759096,0.6155913,0.4846774,0.0
1.3186733760003335,single_4,120.0,0.7068583470577035,0.11090332,0.333271,0.0
1.3387523520004834,single_4,120.0,0.6723008278682157,-0.6894838,0.093154855,0.0
1.3588319039999988,single_4,120.0,0.6723008278682157,-1.0,0.0,0.0
1.3792780800004039,single_4,120.0,0.6628760499074463,-1.0,0.0,0.0
1.3993564479997076,single_4,120.0,0.6723008278682157,-1.0,0.0,0.0
1.419537792000483,single_4,120.0,0.6848671984825749,-1.0,0.0,0.1126351709113686
1.4396208959997239,single_4,120.0,0.653451271946677,-0.56230414,0.13130876,1.0824460200570616
1.459696607999831,single_4,120.0,0.653451271946677,-1.0,0.0,5.4534124381721005
1.4797742720002134,single_4,120.0,0.5340707511102648,-0.4593385,0.16219845,14.417867197488082
1.4998526400004266,single_4,120.0,0.37070793312359557,0.5049703,0.45149112,19.99965256350625
1.519944800000303,single_4,120.0,0.17278759594743864,0.5127108,0.45381325,14.548621340709927
1.5400271680000515,single_4,120.0,0.17278759594743864,0.650447,0.49513412,5.551082373912379
1.5601027200000317,single_4,120.0,0.05969026041820607,0.5923356,0.47770068,1.1116692476625654
1.5801827519999279,single_4,120.0,0.05969026041820607,0.58834255,0.47650278,0.11675393236518702
1.6002577919998657,single_4,120.0,0.20106192982974674,0.09899792,0.3296994,0.0
1.6203346880001845,single_4,120.0,0.43353978619539146,-0.03499542,0.28950137,0.0
1.6404272959998707,single_4,120.0,0.43353978619539146,-0.2235799,0.23292604,0.0
1.6605040960002952,single_4,120.0,0.590619418874881,0.007769361,0.30233082,0.0
1.680582816000424,single_4,120.0,0.6942919764433443,0.38915306,0.41674593,0.0
1.7006610240005102,single_4,120.0,0.7351326809400116,0.5778816,0.4733645,0.0
1.7207384639996235,single_4,120.0,0.7351326809400116,0.6041354,0.48124063,0.0
1.740827616000388,single_4,120.0,0.7351326809400116,0.7512321,0.52536964,0.0
1.7609074239999245,single_4,120.0,0.744557458900781,0.7849021,0.53547066,0.0
1.7809854719998839,single_4,120.0,0.7382742735936013,0.8315823,0.5494747,0.0
1.8010607360001814,single_4,120.0,0.7131415323648831,0.59688216,0.47906464,0.0
1.8211509760003537,single_4,120.0,0.7131415323648831,-0.09636097,0.27109173,0.0
1.8412443520001034,single_4,120.0,0.7099999397112933,-0.73364323,0.07990703,0.0
1.8613227519999782,single_4,120.0,0.728849495632832,-1.0,0.0,0.0
1.8813983360005295,single_4,120.0,0.7225663103256524,-1.0,0.0,0.0
1.901483520000511,single_4,120.0,0.7099999397112933,-1.0,0.0,0.00849170740047129
1.921559776000322,single_4,120.0,0.7099999397112933,-1.0,0.0,0.14564797201774024
1.9416479359997538,single_4,120.0,0.6785840131753953,-0.79544175,0.06136748,1.3122740851691588
1.961723104000157,single_4,120.0,0.5717698629533423,-1.0,0.0,6.194338065956649
1.9818018559999473,single_4,120.0,0.37699111843077515,-0.3915707,0.1825288,15.345071038997471
2.001879583999653,single_4,120.0,0.37699111843077515,0.49375504,0.44812655,19.943554426566767
2.0219604160001836,single_4,120.0,0.16964600329384882,0.5251671,0.45755014,13.59802248742318
2.0420445119998476,single_4,120.0,0.00942477796076938,0.64930177,0.49479055,4.86243568494095
2.0621209600003567,single_4,120.0,-0.012566370614359171,0.59258544,0.47777566,0.9125807871888976
2.0821962560003158,single_4,120.0,0.14765485471872025,0.5134187,0.45402563,0.08988292158281114
2.102272191999873,single_4,120.0,0.14765485471872025,0.05951768,0.3178553,0.0
2.1223469759997897,single_4,120.0,0.3455751918948773,-0.11950865,0.26414743,0.0
2.1424311680002575,single_4,120.0,0.4492477494633404,-0.09968482,0.27009457,0.0
2.1625084160004917,single_4,120.0,0.546637121724624,0.08327782,0.32498336,0.0
2.182584672000303,single_4,120.0,0.6031857894892403,0.4674701,0.44024107,0.0
2.2026618239997333,single_4,120.0,0.6031857894892403,0.63175106,0.48952535,0.0
2.222742976000518,single_4,120.0,0.6220353454107791,0.73669726,0.5210092,0.0
2.242828831999759,single_4,120.0,0.637743308678728,0.6028457,0.4808537,0.0
2.2629059520004375,single_4,120.0,0.6408849013323178,0.860201,0.55806035,0.0
2.282982560000164,single_4,120.0,0.6408849013323178,0.78389853,0.5351696,0.0
2.303059040000335,single_4,120.0,0.6408849013323178,0.60951954,0.48285586,0.0
2.3231346239999766,single_4,120.0,0.6597344572538565,-0.13906224,0.25828135,0.0
2.3432247359996836,single_4,120.0,0.6503096792930871,-0.7907182,0.062784545,0.0
2.363305439999749,single_4,120.0,0.6660176425610361,-1.0,0.0,0.0
2.3833802879998984,single_4,120.0,0.6660176425610361,-1.0,0.0,0.0
2.403455552000196,single_4,120.0,0.6911503837897546,-1.0,0.0,0.01155159128263953
2.423532128000261,single_4,120.0,0.7068583470577035,-1.0,0.0,0.18597629028487897
2.4436269119996723,single_4,120.0,0.653451271946677,-0.9097392,0.027078243,1.5736412995278024
2.4637039039998854,single_4,120.0,0.653451271946677,-0.95706207,0.0128813805,6.971336841072638
2.4837804159997177,single_4,120.0,0.5246459731494955,-0.396524,0.1810428,16.204230488952
2.503856127999825,single_4,120.0,0.32358404331974866,0.5289016,0.4586705,19.763493930476724
2.523933536000186,single_4,120.0,0.17278759594743864,0.5120406,0.4536122,12.647770532820669
2.5440189760001886,single_4,120.0,0.06911503837897545,0.6232543,0.4869763,4.2443813588591865
2.5640990399997463,single_4,120.0,0.06911503837897545,0.56822157,0.4704665,0.7473532832600323
2.5841746880005303,single_4,120.0,0.08482300164692441,0.4777434,0.44332305,0.06907446133710796
2.6042597440000463,single_4,120.0,0.2670353755551324,0.25756663,0.37727,0.0
2.6243360959997517,single_4,120.0,0.39269908169872414,-0.109978095,0.26700658,0.0
2.644422143999691,single_4,120.0,0.5026548245743668,-0.097760454,0.27067187,0.0
2.6644964160004747,single_4,120.0,0.5026548245743668,0.13607287,0.34082186,0.0
2.684571648000201,single_4,120.0,0.6157521601035995,0.5502006,0.4650602,0.0
2.7046471680005197,single_4,120.0,0.6691592352146258,0.6486764,0.49460295,0.0
2.7247235840004578,single_4,120.0,0.6911503837897546,0.75789773,0.5273693,0.0
2.744809439999699,single_4,120.0,0.6911503837897546,0.59505105,0.47851533,0.0
