meas_pres_DF,meas_pres_F,meas_pres_G,wrist_angle_deg,grip_angle_deg,flag,force_N,t_recv,t_recv_rel,time,target_force,action_DF,action_F,action_G,cmd_DF,cmd_F,cmd_G
-0.0009143829833712571,-0.030936367036100462,-0.004145459929305516,5.76,-1.6199999999999999,1.0,0.07925656910918377,11630.078663136,0.0,0.0,0.0,0.27763432264328003,-0.24362340569496155,-0.43120288848876953,0.3832903206348419,0.2269129902124405,0.17063914239406586
0.0029119377686315367,-0.024467117690553684,0.007696088145176763,5.76,-1.6199999999999999,1.0,-0.08859523300879601,11630.078883808,0.00022067200006858911,0.005,0.0,0.27763432264328003,-0.24362340569496155,-0.43120288848876953,0.3832903206348419,0.2269129902124405,0.17063914239406586
-0.006973752240120083,-0.041685896455226,-0.003683902873860913,5.76,-1.6199999999999999,1.0,0.07925656910918377,11630.07889472,0.00023158399926614948,0.01,0.0,0.27763432264328003,-0.24362340569496155,-0.43120288848876953,0.3832903206348419,0.2269129902124405,0.17063914239406586
-0.013104491905731916,-0.04151538706517029,-0.006470438350910415,5.76,-1.6199999999999999,1.0,0.018219550157191122,11630.078901376,0.00023823999981686939,0.015,0.0,0.27763432264328003,-0.24362340569496155,-0.43120288848876953,0.3832903206348419,0.2269129902124405,0.17063914239406586
-0.0027599621233739785,-0.011090545286297743,-0.001376747925971649,5.76,-1.6199999999999999,1.0,0.018219550157191122,11630.07890848,0.0002453439992677886,0.02,0.0,-0.12547871470451355,-0.6143530607223511,-1.0,0.26235640048980713,0.1156940832734108,0.0
-0.006124854473453471,-0.0035750819383353195,0.002848750483354102,5.76,-1.6199999999999999,1.0,-0.11911374248479234,11630.078917152,0.0002540159985073842,0.025,0.0,-0.12547871470451355,-0.6143530607223511,-1.0,0.26235640048980713,0.1156940832734108,0.0
-0.0028655244598490663,-0.007103036507253104,-0.004445280290065276,5.76,-1.6199999999999999,1.0,0.2623676259651617,11630.078924768,0.0002616319998196559,0.03,0.0,-0.12547871470451355,-0.6143530607223511,-1.0,0.26235640048980713,0.1156940832734108,0.0
-0.01307963159457245,0.012812739829273022,-0.010147694470984089,5.76,-1.6199999999999999,1.0,-0.05807672353279969,11630.078932064,0.0002689279990590876,0.035,0.0,-0.12547871470451355,-0.6143530607223511,-1.0,0.26235640048980713,0.1156940832734108,0.0
-0.005046898313314163,-0.002880345200837777,-0.012176385691349536,5.76,-1.6199999999999999,1.0,-0.07333597827079785,11630.122336384,0.043673247999322484,0.04,0.0,-0.35039323568344116,-0.4702872335910797,-1.0,0.19488203525543213,0.15891385078430176,0.0
-0.010434501562255985,-0.009746076047194954,-0.008191754238967902,5.76,-1.6199999999999999,1.0,-0.05807672353279969,11630.122358848,0.043695712000044296,0.045,0.0,-0.35039323568344116,-0.4702872335910797,-1.0,0.19488203525543213,0.15891385078430176,0.0
-0.014416444641577777,-0.010682855659805828,-0.008517222433879737,5.76,-1.6199999999999999,1.0,0.14029358806117642,11630.122368032,0.043704895999326254,0.05,0.0,-0.35039323568344116,-0.4702872335910797,-1.0,0.19488203525543213,0.15891385078430176,0.0
-0.014721080935423202,-0.009100056219466395,-0.010610490029454162,5.76,-1.6199999999999999,1.0,-0.027558214056803365,11630.122376288,0.04371315199932724,0.055,0.0,-0.35039323568344116,-0.4702872335910797,-1.0,0.19488203525543213,0.15891385078430176,0.0
-0.00860904158114606,-0.025691022562949615,-0.0039413791171988045,5.76,-1.6199999999999999,1.0,0.06399731437118561,11630.122385216,0.04372207999949751,0.06,0.0,-0.1366925835609436,-0.31131410598754883,-1.0,0.2589922249317169,0.20660577714443207,0.0
-0.009944888071744266,-0.020502502445133672,-0.00710764273927088,5.76,-1.6199999999999999,1.0,0.07925656910918377,11630.122394592,0.04373145599856798,0.065,0.0,-0.1366925835609436,-0.31131410598754883,-1.0,0.2589922249317169,0.20660577714443207,0.0
-0.004544762655289957,-0.020812000512389055,-0.008807759425329069,5.76,-1.6199999999999999,1.0,0.06399731437118561,11630.12240256,0.04373942399979569,0.07,0.0,-0.1366925835609436,-0.31131410598754883,-1.0,0.2589922249317169,0.20660577714443207,0.0
